pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-149.998,-148.998,-147.998,-146.998,-145.998,-144.998,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
6.22,24.943,3.4,3985.2,445.04,111.11,0.17281,51.9,37,2,3000,24855,18246,17600,17652,17812,17707,17577,17612,17629,17557,17572,17577,17379,17332,17263,17303,16943,16952,16858,16427,16047,15743,14796,12901,9472.8,3589.8,855.75,3990,7860.3,9965.2,12045,13643,15026,15497,15614,15603,15978,16559,16898,17129,17276,17163,17176,17338,17269,17339,17283,17376,17392,17240,17160,17331,17005,17000,16815,16756,17180,17154,17201,17203,17329,17110,17252,17153,17089,16760,16548,16545,16719,16766,17200,17127,17324,17389,17497,17517,17455,17652,17684,17601,17489,17731,17783,17523,17645,17593,17663
6.4,24.933,3.4,3995.8,448.68,112.33,0.19532,58.663,37,2,3000,26983,19641,19068,19296,19467,19103,19220,19338,19027,19163,19027,18923,18710,18752,18783,18551,18675,18197,18016,17782,17640,17002,16024,14243,10737,4373.3,774.03,3866.8,7793.6,10375,12312,14497,15789,16512,16837,16710,17220,17754,18254,18316,18435,18417,18602,18813,18610,18703,18566,18419,18728,18595,18497,18420,18270,17888,17874,18071,18457,18456,18698,18574,18481,18374,18627,18355,18096,17977,17748,17677,18037,18122,18295,18477,18741,18672,18876,18866,18820,19031,19124,19167,19123,19336,18862,19076,19073,19076,19052
6.52,24.908,3.4,3904.3,472.26,108.65,0.14507,43.57,37,2,3000,26221,19366,18854,18869,18838,18917,18683,18740,18787,18708,18652,18500,18460,18453,18482,18071,18097,18076,17673,17503,17420,16627,15464,13293,9606.9,2874.8,1114.1,5457.9,8848.7,10837,12907,14918,16042,16397,16746,16517,17073,17441,17856,17941,18075,18338,18197,18284,18317,18141,18229,18147,18088,18102,17946,17960,17519,17403,17253,17829,17922,17904,18067,18028,18026,18139,18022,17932,17684,17509,17307,17458,17514,18032,17911,18250,18204,18386,18552,18533,18776,18675,18525,18798,18696,18718,18549,18633,18607,18700,18786
6.68,24.846,3.4,3959.1,473.13,103.57,0.10358,31.11,37,2,3000,24154,17738,17399,17163,17416,17397,17006,17366,17190,17252,17145,16969,16990,17004,16825,16840,16808,16657,16476,16251,15793,15342,14304,12120,8093.9,2018,1116.3,5401.7,8589.9,10346,12187,13940,14699,15186,15472,15480,15741,16408,16562,16784,16881,16680,16695,16759,16797,16749,16981,16591,16606,16628,16328,16147,15667,15754,15615,15984,16367,16452,16377,16648,16667,16515,16740,16418,16323,16128,16249,16304,16350,16627,16736,16835,17005,16906,17178,16967,17012,17119,17228,17180,17359,17124,17316,17271,17178,17248,17420
6.85,24.755,3.4,3958.2,431.45,94.369,-0.016316,-4.9002,37,2,3000,20375,15562,14932,14879,14679,14968,15030,14828,14838,14934,14737,14673,14644,14728,14598,14436,14372,14276,14322,13913,13535,12683,11435,8724.1,3543,899.49,3015.1,6517.8,8600,10222,11491,12549,13056,13337,13436,13796,14024,14056,14279,14375,14507,14363,14447,14606,14344,14304,14209,14055,13961,13686,13425,13069,12856,13040,13510,13640,14184,14260,14282,14202,14324,14265,14328,14222,14115,14361,14247,14449,14345,14359,14608,14521,14506,14593,14909,14696,14847,14757,14863,14673,14776,14504,14894,14998,14748,14935,14893
6.98,24.893,3.4,3939.2,389.06,112.01,0.043583,13.09,37,2,3000,24247,17663,17437,17141,17413,17190,17300,17475,17264,17505,16909,17150,16983,16733,16830,16535,16609,16374,16255,15818,15282,14417,12969,9844.6,4753,837.78,2189.9,5858.5,8539.3,10477,12223,13538,14410,14869,15221,15596,15789,16200,16149,16315,16450,16366,16382,16494,16432,16392,16293,16305,16026,15916,15424,15180,14845,14810,15047,15547,16050,16240,16261,16262,16481,16290,16512,16186,16460,16369,16553,16297,16432,16761,16620,16708,16707,16661,16810,17037,16854,17110,17073,17290,17024,17010,17126,17300,17292,17161,17334
7.12,24.918,3.4,3995.5,337.61,116.88,0.039824,11.96,37,2,3000,26660,19569,19048,19012,18813,18992,18912,18858,18974,18754,18840,18709,18501,18470,18466,18296,18141,17834,17536,17338,16622,15386,13448,9846.6,4419.5,793.82,1938.6,5709.4,9074.1,11542,13249,14553,15466,16337,16731,16991,17170,17545,17635,17729,17912,17796,18038,17792,17706,17741,17352,17304,17229,16915,16742,16346,15936,16095,16191,16877,17319,17433,17593,17944,17872,18075,17970,18074,18316,18223,18313,18263,18423,18228,18387,18200,18614,18345,18613,18381,18634,18759,18726,18731,18755,19028,18782,18975,18966,19056,18839
7.27,24.543,3.4,3940.5,306.56,113.14,0.035269,10.593,37,2,3000,26372,19678,18863,19025,18683,18628,18636,18688,18551,18723,18724,18495,18227,18439,18430,18114,17731,17775,17444,16679,15685,14455,12260,8497.6,3471.1,838.96,1934,5908.7,9491,11494,13582,14734,15326,15826,16279,16598,16835,17149,17455,17379,17559,17367,17188,17450,17278,17124,17165,16941,16794,16805,16600,16488,16390,16517,16591,16891,17242,17558,17374,17872,17850,17846,17975,17997,18193,18137,18323,18178,18169,18366,18469,18537,18314,18378,18661,18319,18427,18551,18673,18560,18653,18491,18632,18798,18573,19074,18884
6.25,24.943,1.4,1650.3,390.01,105.97,-0.025923,-7.7857,37,2,3000,26225,22783,23050,23073,23133,23063,23064,22942,23047,23061,23191,22905,22765,22636,22698,22312,22370,22252,22033,21710,21235,20184,18101,14676,6434.2,1058,7123.6,12666,15948,17875,19530,20717,21144,21429,21410,21812,22228,22480,22561,22603,22758,22633,22824,22788,22782,22805,22845,22846,22819,22676,22510,22495,22371,22587,22705,22629,22680,22613,22879,22990,22760,22686,22580,22413,21993,21970,22222,22549,22757,22734,22788,22838,23113,23062,22932,23075,22981,23015,23143,23009,23061,23178,23176,22955,22890,23252,23288
6.43,24.938,1.4,1652,420.28,91.261,-0.12885,-38.698,37,2,3000,21032,18892,19120,19147,19159,19081,19201,19054,19123,19038,18974,18908,18931,18788,18763,18483,18609,18429,18173,18026,17479,16616,14728,10356,2327.4,2836.6,9161.9,12645,14275,16050,17122,17775,17765,17815,17878,18285,18554,18509,18680,18644,18785,18753,18838,18806,18986,18883,18779,18775,18677,18563,18421,18346,18407,18774,18702,18698,18798,18771,18823,18863,18756,18561,18552,18345,18275,18587,18444,18711,18727,18885,18929,18846,18967,18937,18909,18871,18950,18949,19142,19086,19096,18916,19082,19081,19080,19007,19087
6.54,24.915,1.4,1604.2,377.09,109.71,-0.018905,-5.6778,37,2,3000,26327,23721,23571,23456,23639,23489,23676,23606,23443,23381,23393,23101,22978,23130,23125,22811,22745,22498,22135,21848,21181,20199,17991,14087,5764.3,1253.3,7399.1,12930,15479,17710,19607,20898,21383,21524,21505,21843,22541,22732,22943,22957,22892,23020,23037,23262,23106,22990,22989,23024,23058,22707,22723,22372,22480,22558,22922,22902,22973,22991,23058,23160,22971,22897,22788,22467,22447,22453,22699,22671,22836,23007,23191,23242,23276,23259,23371,23413,23401,23290,23247,23410,23258,23497,23393,23372,23511,23516,23552
6.68,24.831,1.4,1638.9,334.17,116.61,0.013075,3.9269,37,2,3000,29128,25689,25784,25835,25756,25628,25799,25536,25590,25569,25548,25350,25091,25090,25021,24916,24549,24419,24320,23624,22886,21902,19605,15454,7561.7,1127,5728.6,11950,15689,18296,20848,22280,22883,23265,23606,23688,24185,24630,24622,25008,25044,25089,24941,24897,24995,24905,24840,24702,24609,24292,24060,23745,23404,23736,24139,24672,24646,24673,24985,24904,24738,24730,24714,24558,24764,24658,24735,24781,24759,25024,25185,25145,25170,25365,25448,25593,25609,25567,25360,25716,25519,25663,25608,25502,25587,25796,25748
6.82,24.735,1.4,1673.4,324.57,114.43,0.017167,5.1558,37,2,3000,28285,25326,24979,24853,25068,25104,25028,25206,25063,25010,25012,25064,24628,24625,24605,24563,24136,24036,23673,23291,22494,21332,19238,15373,7728.9,1200.3,4729.7,11203,15315,17930,20141,21463,22383,22833,23035,23495,23810,23932,24103,24349,24102,24204,24268,24271,24118,24137,24108,24042,24013,23601,23327,22992,22646,22881,23272,23546,23935,24131,24075,24297,24379,24117,24223,24158,24468,24036,24522,24483,24504,24614,24661,24708,24611,24784,24802,24715,24925,25023,24855,25029,24928,25052,25086,24920,25141,24702,24965
6.99,24.772,1.4,1581,315.17,104.77,-0.036756,-11.039,37,2,3000,25555,22837,22696,22738,22871,22864,22820,22778,22587,22619,22738,22573,22207,22056,22307,22066,21760,21774,21482,20778,20148,19198,16875,12416,4800.7,1122.6,6088.7,11781,15134,17311,18871,19662,20367,21048,21177,21459,21467,21768,21810,21887,21908,22116,22185,21920,21901,21626,21634,21366,21384,21101,20791,20571,20509,20587,21299,21689,21616,21789,21898,21981,21836,22074,22048,22107,22116,22165,22229,22376,22251,22221,22415,22290,22319,22400,22249,22547,22619,22511,22484,22561,22726,22606,22535,22464,22780,22499,22572
7.18,24.965,1.4,1554.6,314.28,89.047,-0.12356,-37.109,37,2,3000,20732,19014,18789,18739,18628,18877,18789,18884,18716,18795,18689,18573,18420,18421,18464,18050,17922,17877,17745,17474,16806,15705,13444,8809.4,2138.3,2387.2,7867.9,11958,14003,15467,16342,16938,17282,17557,17669,17807,18041,17987,17993,18189,18314,18089,18076,18258,17988,17720,18022,17807,17600,17415,17275,17103,17377,17448,17703,18184,18168,18160,18323,18349,18369,18248,18428,18159,18371,18650,18489,18502,18421,18562,18473,18484,18368,18392,18462,18511,18610,18423,18500,18639,18564,18485,18592,18688,18616,18674,18645
