pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-153.999,-152.999,-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
7.27,9.9443,1.6,1120.8,407.17,87.491,0.25867,77.686,34,0.5,4000,19551,19426,19332,19315,19287,19237,19335,19300,19394,19241,19373,19407,19286,19397,19210,19374,19199,19460,19329,19362,19389,19210,19267,19318,19019,16717,18163,19267,19131,19319,19376,19293,19303,19310,19204,19112,19199,19240,19278,19298,19271,19247,19167,19356,19224,19260,19153,19159,19313,19190,19264,19350,19249,19106,19362,19239,19193,19221,19421,19166,19233,19404,19369,19369,19179,19327,19462,19183,19434,19245,19308,19204,19317,19287,19291,19256,19440,19182,19125,19175,19316,19189,19314,19201,19214,19201
6.26,9.9761,0.86,711.32,323.92,103.01,0.13696,41.135,34,0.5,4000,22214,21973,21853,21763,21948,21931,21842,21792,21878,22017,21848,22013,22024,21924,21900,21734,22040,22101,21859,21875,21859,21826,21854,21713,20469,18803,21676,21858,21915,22114,21927,21869,22071,21770,21876,22066,21881,21837,21989,21874,21906,21894,21815,21999,21910,22010,21992,21857,21938,21801,21935,21911,21831,21905,21981,21914,21901,21907,21872,21948,21878,21798,22035,21889,21870,21820,21972,22029,21896,21881,21920,21799,21882,21944,21882,21845,22000,21839,21887,21910,21914,21873,21946,21835,21753,21888
6.41,9.9741,0.86,740.68,295.04,114.29,0.26667,80.091,34,0.5,4000,25922,25625,25629,25563,25600,25645,25528,25579,25551,25754,25651,25621,25649,25588,25599,25626,25571,25577,25478,25548,25569,25632,25777,25417,24802,22363,24706,25432,25598,25636,25668,25656,25664,25464,25593,25717,25737,25617,25746,25704,25769,25523,25494,25514,25480,25760,25631,25541,25557,25619,25624,25468,25594,25698,25629,25713,25532,25732,25705,25777,25635,25582,25511,25590,25621,25324,25579,25588,25704,25416,25546,25544,25609,25484,25399,25593,25450,25486,25612,25704,25625,25626,25597,25432,25640,25562
6.57,9.9651,0.86,741.22,306.18,110.8,0.20973,62.991,34,0.5,4000,26501,26111,26261,26067,25966,26273,26212,26100,26166,25960,26037,26120,26076,26068,26170,26161,26062,25801,26054,26082,26130,26072,26037,25834,25431,20478,25653,25992,26231,26104,26071,26034,26017,26165,26027,26216,26033,26065,26019,26023,26092,26114,26122,26084,25945,26124,26164,26087,26063,26191,26177,26001,26039,26113,26193,26151,26039,26103,26108,26053,25907,26159,26267,26029,26068,26060,26238,26017,26144,25977,26124,25958,26176,26091,25922,26055,25962,26095,26010,26131,26058,26030,25976,26032,26097,26061
6.72,9.9502,0.86,725.19,327.01,101.31,0.25984,78.04,34,0.5,4000,23468,23417,23329,23272,23350,23155,23221,23280,23240,23408,23357,23300,23294,23381,23322,23155,23273,23210,23415,23310,23270,23395,23264,23329,22723,20368,22051,23233,23266,23311,23260,23225,23358,23343,23259,23198,23263,23439,23299,23303,23248,23291,23215,23190,23299,23432,23101,23254,23295,23311,23349,23310,23317,23442,23341,23226,23258,23309,23317,23331,23256,23269,23466,23234,23162,23291,23210,23255,23215,23202,23368,23211,23222,23317,23255,23111,23214,23334,23246,23222,23318,23167,23294,23375,23221,23243
6.85,9.9206,0.86,720.55,346.57,87.077,0.2344,70.399,34,0.5,4000,19393,19298,19239,19293,19391,19217,19259,19179,19395,19204,19280,19359,19315,19250,19272,19365,19344,19213,19092,19220,19230,19218,19257,19142,18791,16251,18504,19442,19410,19453,19307,19184,19426,19130,19294,19199,19250,19278,19248,19313,19402,19314,19322,19221,19311,19250,19289,19195,19254,19143,19386,19285,19391,19171,19376,19182,19378,19248,19264,19300,19263,19339,19348,19417,19354,19256,19201,19280,19405,19338,19225,19143,19298,19199,19336,19345,19359,19198,19138,19431,19118,19171,19332,19171,19397,19174
7.02,9.9592,0.86,709.8,317.86,101.89,0.066183,19.877,34,0.5,4000,22430,22079,22023,22184,22100,22145,22114,22225,22277,22141,22184,22052,21950,22306,22250,22246,22255,22109,22051,22069,22204,21998,22017,21467,19939,20096,22089,22138,22039,22245,22113,22245,22114,22167,22187,22044,22191,22090,22073,22185,22034,22092,22185,22194,22049,22090,22330,21908,22102,21966,22010,22248,22089,22187,21964,22166,22206,22238,22146,22298,22120,22100,22193,22179,21997,22052,22132,22088,22160,22125,22062,22055,22141,22103,22129,22131,21961,22080,22183,22181,22068,22125,22073,22105,22135,22244
7.15,9.9602,0.86,735.2,295.17,111.04,0.099017,29.738,34,0.5,4000,25724,25738,25537,25594,25558,25772,25544,25699,25628,25735,25613,25580,25635,25607,25701,25577,25627,25655,25556,25599,25450,25612,25653,25129,22996,22936,25277,25588,25433,25688,25640,25562,25617,25591,25609,25442,25688,25597,25624,25535,25605,25539,25543,25697,25677,25562,25483,25680,25683,25661,25525,25688,25685,25603,25511,25614,25513,25571,25692,25468,25570,25521,25624,25506,25628,25454,25621,25607,25735,25610,25660,25592,25771,25666,25583,25525,25462,25590,25512,25502,25453,25684,25584,25570,25692,25523
7.31,9.8824,0.86,725.65,283.41,111.13,0.11257,33.809,34,0.5,4000,26004,25726,25767,25870,25749,25679,25903,25624,25710,25677,25726,25771,25765,25779,25743,25848,25650,25657,25575,25648,25816,25592,25715,25157,23441,22955,25534,25561,25707,25809,25663,25827,25744,25716,25728,25705,25792,25940,25678,25551,25881,25700,25560,25895,25805,25675,25730,25712,25692,25757,25726,25905,25768,25774,25758,25787,25807,25695,25516,25763,25687,25745,25720,25628,25602,25721,25674,25707,25686,25615,25762,25691,25814,25811,25692,25835,25618,25570,25755,25690,25882,25795,25716,25758,25538,25766
6.25,9.984,0.6,521.05,263.87,101.97,0.11541,34.661,34,0.5,4000,23979,23707,23619,23604,23553,23788,23509,23646,23687,23664,23651,23427,23522,23509,23534,23657,23572,23845,23571,23462,23563,23608,23608,23282,22221,21258,23489,23518,23574,23625,23742,23609,23536,23625,23721,23452,23506,23627,23552,23621,23798,23444,23581,23652,23623,23440,23689,23604,23543,23507,23541,23595,23534,23763,23625,23835,23621,23619,23566,23756,23557,23688,23519,23509,23721,23532,23591,23590,23619,23551,23514,23595,23647,23721,23604,23724,23538,23643,23594,23629,23667,23636,23496,23487,23523,23600
6.39,9.98,0.6,503.86,280.34,85.518,0.18326,55.04,34,0.5,4000,18949,18893,18842,18768,18724,19029,18919,18875,18696,18937,18891,18991,18915,18977,19023,18891,18775,18950,18883,18936,18862,18872,18924,18604,18032,16383,18455,18893,18916,18946,18775,18817,18892,18858,18867,18831,18805,18783,18990,18858,18841,18929,18842,18808,18919,18851,19037,18823,18972,19037,18957,18827,18964,18942,18865,18981,18968,18958,18905,18955,18880,18952,18866,18953,18835,18860,18805,18867,19068,18934,18920,18862,18804,18710,18923,18887,18879,18979,18756,18929,18775,18665,18930,18793,18950,18844
6.57,9.9661,0.6,510.36,271.93,99.835,0.1183,35.53,34,0.5,4000,22146,21895,21839,21946,21855,21916,21962,22181,22068,21799,21945,21969,22067,21971,21999,22059,21909,21925,21864,22004,22027,22079,21864,21458,20297,19705,21560,21990,21933,21909,21929,21928,21873,21960,21850,21989,22030,21890,22073,22116,21815,21987,22003,21911,22030,21990,21905,21965,21996,21745,22000,21870,21952,22137,22001,21951,21974,21894,21868,21867,22011,22003,21918,22040,21889,21968,22094,21989,21919,21917,21915,22064,21957,21844,21982,21863,21963,22080,22220,21982,22089,21875,22020,21912,21857,21993
6.68,9.9522,0.6,533.99,261.22,108.6,0.1837,55.171,34,0.5,4000,25742,25470,25447,25331,25474,25332,25430,25423,25352,25429,25303,25351,25521,25466,25339,25435,25553,25314,25398,25420,25408,25420,25243,25115,24083,22013,24711,25274,25311,25438,25454,25338,25406,25429,25481,25304,25448,25366,25497,25464,25352,25426,25320,25503,25426,25352,25364,25508,25393,25494,25250,25447,25458,25266,25523,25370,25391,25251,25443,25356,25319,25411,25449,25439,25401,25372,25363,25322,25437,25486,25464,25410,25356,25393,25259,25439,25404,25558,25368,25482,25541,25514,25291,25425,25382,25286
6.85,9.9206,0.6,538.6,263.57,107.14,0.26483,79.536,34,0.5,4000,26038,25964,25754,25800,25730,25758,25836,25703,25707,25763,25569,25808,25926,25675,25923,25718,25663,25566,25714,25694,25870,25600,25777,25599,24944,22457,24051,25391,25767,25580,25864,25655,25535,25555,25679,25750,25534,25702,25830,25778,25764,25689,25767,25924,25832,25817,25646,25664,25656,25648,25678,25697,25679,25791,25730,25744,25857,25837,25548,25824,25612,25705,25706,25826,25786,25641,25743,25729,25614,25797,25723,25800,25765,25615,25603,25755,25579,25809,25492,25724,25697,25636,25612,25747,25496,25747
7.01,9.9661,0.6,523.17,267.41,98.45,0.23253,69.838,34,0.5,4000,23485,23310,23269,23275,23283,23265,23385,23263,23371,23282,23356,23464,23308,23453,23239,23404,23351,23323,23307,23369,23387,23271,23448,23131,22780,20213,22249,23173,23281,23322,23357,23228,23414,23262,23385,23415,23270,23325,23256,23235,23346,23393,23345,23250,23351,23130,23319,23382,23327,23452,23359,23481,23174,23387,23310,23387,23161,23366,23288,23527,23435,23496,23408,23261,23330,23323,23388,23357,23312,23262,23451,23324,23288,23322,23177,23389,23277,23295,23213,23446,23303,23414,23324,23343,23441,23285
7.16,9.982,0.6,490.43,268.47,82.642,0.2724,81.81,34,0.5,4000,18265,18318,18248,18278,18151,18313,18197,18224,18194,18218,18117,18176,18170,18055,18151,18172,18134,18070,18221,18258,18153,18061,18306,18073,17974,16567,17103,17968,18168,18300,18151,18130,18273,18170,18281,18309,18174,18178,18152,18208,18408,18186,18235,18198,18217,18232,18345,18079,18338,18220,18265,18203,18282,18186,18210,18242,18221,18215,18236,18257,18240,18284,18429,18398,18256,18225,18208,18277,18314,18250,18217,18392,18303,18285,18294,18352,18359,18205,18072,18225,18087,18356,18199,17993,18236,18247
7.3,9.9512,0.6,513.21,259.32,98.187,0.2396,71.959,34,0.5,4000,22258,21987,22146,22089,22005,21993,22047,22016,22092,21777,21993,21994,22109,21964,22045,22031,22019,22006,21965,22168,22002,22037,21912,21906,21240,19977,20788,22108,21832,21956,21914,22047,21859,22112,21941,21702,21918,22079,21944,21949,22014,21987,21815,22027,21972,22061,21965,22059,21812,21931,22045,21984,22133,22004,22080,21845,22059,22004,22090,21887,22172,21898,21957,22171,21867,22071,22068,21879,21798,22013,22066,22036,22033,21858,21803,21890,22075,21938,22064,21972,21991,21762,22050,21909,22076,21769
