pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-153.999,-152.999,-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
6.24,24.913,0.6,572.74,254.51,105.4,0.50268,150.97,37,6,4000,22902,22777,22800,22660,22792,21812,21757,21652,21657,21319,20121,20101,19825,19416,19013,18490,18134,17395,16754,15647,14526,12898,10947,8599.8,6036.1,3908.6,2565,2780.1,4072.3,5815.4,8224.6,10223,12166,13542,14809,15660,16581,17276,17855,18362,18709,18879,19070,19142,19335,19438,19448,19515,19724,19677,19757,19784,19979,19890,19959,19986,20053,20131,20037,20165,20327,20233,20185,20274,20274,20336,20518,20380,20290,20466,20562,20514,20562,20787,20904,20948,20973,21088,21260,21297,21309,21299,21488,21625,21701,21657
6.41,24.777,0.6,603.5,248.3,111.73,0.5537,166.3,37,6,4000,26289,25808,25891,25719,25814,24881,24649,24585,24570,24205,22870,22709,22397,21969,21596,21048,20669,19934,18952,18145,16718,15085,12919,10543,7814.6,4884.4,3157.9,2712.7,3592.7,5713.5,8059.3,10437,12605,14496,15925,17144,18074,19000,19966,20404,20956,21200,21305,21373,21649,21843,21861,21951,22171,22152,22134,22241,21986,22443,22517,22495,22496,22551,22541,22542,22736,22756,22683,22705,22727,22724,22698,22807,22741,22804,22975,22983,23220,23242,23337,23583,23758,23883,23879,24216,24241,24229,24431,24461,24722,24711
6.54,24.802,0.6,612.75,255.44,106.12,0.57575,172.92,37,6,4000,26125,25593,25669,25699,25565,24704,24576,24577,24454,24029,23014,22786,22324,21956,21563,21122,20657,20119,19212,18389,17105,15367,13377,10810,8015.1,5353.1,3200.9,2596.5,3426.7,5520.9,7827.1,10313,12492,14382,15954,17076,18107,19013,19635,20261,20958,21019,21194,21376,21584,21814,21861,21955,22085,21906,22153,21973,21980,22283,22210,22315,22255,22309,22411,22525,22494,22546,22437,22338,22656,22588,22424,22676,22594,22740,22469,22803,22984,23182,23130,23318,23522,23815,23914,24085,24361,24191,24292,24485,24708,24648
6.7,24.826,0.6,613.34,253.39,102.1,0.58175,174.72,37,6,4000,23829,23946,23749,23568,23720,22983,23081,22887,22799,22438,21538,21150,20938,20642,20500,19773,19387,18656,18180,17234,16041,14480,12676,10406,7708.6,5010.8,2909,2402.9,3363.9,5075.7,7318.6,9587.4,11668,13517,14849,15916,16874,17578,18240,18936,19347,19463,19618,19778,19955,20053,20208,20095,20325,20211,20374,20410,20329,20419,20321,20342,20460,20348,20530,20437,20427,20578,20671,20564,20547,20776,20594,20713,20885,20716,20827,21025,20959,21165,21318,21608,21774,22017,22173,22364,22274,22247,22619,22726,22792,22848
6.87,24.752,0.6,599.82,246.22,93.572,0.39826,119.61,37,6,4000,20520,20247,20143,20110,20070,19358,19453,19419,19222,19154,18227,17876,17827,17512,17058,16829,16347,15680,15057,14203,13049,11346,9526.9,7152.1,4849.9,2871.1,2141.2,2783.2,4408,6186.7,7988.2,9756.9,11192,12516,13443,13969,14896,15398,15849,16394,16602,16867,16860,16773,16875,16921,17043,16989,17083,17288,17055,17084,17034,17028,17034,17146,17165,17017,17108,17202,17299,17380,17464,17384,17211,17385,17391,17476,17436,17629,17679,17850,18122,18094,18216,18399,18646,18805,18884,18932,18999,19097,19323,19331,19159,19470
6.99,24.913,0.6,564.12,236.84,106.74,0.17308,51.983,37,6,4000,23315,23016,22857,22921,22956,22092,21825,21895,21732,21424,19946,19597,19417,18847,18343,17811,16914,16047,14953,13463,11745,9370,6831.5,4698.9,2955.5,2426.2,2953.3,4600.2,6390.7,8570.3,10196,11723,13096,14148,15165,15831,16573,17155,17576,17970,18309,18396,18541,18554,18556,18745,18648,18618,18754,18785,18536,18636,18799,18629,18670,18733,18905,18910,19109,19115,19092,19157,19006,19181,19281,19346,19522,19587,19645,19851,19987,20276,20371,20400,20713,20810,20958,20984,21204,21225,21234,21440,21496,21735,21711,21791
7.18,24.93,0.6,592.08,217.56,112.79,0.2531,76.015,37,6,4000,25801,25690,25719,25760,25573,24390,24442,24325,24505,23743,22196,21829,21495,20870,20271,19575,18805,17780,16520,14987,12936,10746,8159.1,5385.8,3675.7,2433.6,2837.8,4063.8,5718.1,8028.8,9795.4,11724,13315,14618,16016,16625,17404,18294,18813,19286,19530,19863,19734,19789,19869,19851,19979,19954,20007,19995,19835,19959,19952,20103,20253,20199,20317,20455,20589,20697,20736,20815,20985,21095,21178,21065,21059,21388,21732,21773,22007,22043,22279,22418,22713,22643,23030,23222,23352,23396,23531,23803,23898,24128,24262,24597
7.27,24.75,0.6,598.36,210.73,109.91,0.25509,76.611,37,6,4000,25738,25315,25304,25152,25084,24126,24051,23947,23786,23499,21812,21587,20967,20774,20133,19104,18636,17675,16276,14627,12861,10394,7993.4,5549,3625.2,2489.8,2666.7,4000,5718.2,7746.9,9649.9,11462,13026,14414,15447,16348,17072,17738,18327,18787,18915,19071,19179,19197,19459,19387,19604,19337,19403,19374,19255,19430,19189,19527,19376,19526,19877,19804,20101,20216,20273,20437,20539,20728,20887,20842,21093,21134,21356,21335,21548,21759,21855,22022,22157,22705,22660,22673,22944,23132,23307,23183,23618,23734,23926,23886
6.22,24.945,0.43,475.98,223.15,101.51,0.26492,79.565,37,6,4000,23295,23008,23124,23236,22848,22222,22185,22106,22064,21696,20588,20316,19950,19732,19179,18788,18111,17351,16426,15164,13506,11546,9122.2,6527.9,4348.4,3183,3382.7,4794.3,6937.7,9341.2,11309,13091,14437,15693,16615,17361,18114,18530,18982,19405,19489,19783,19930,20190,19995,20116,20272,20392,20407,20417,20297,20498,20473,20600,20735,20736,20640,20732,20858,20744,20820,20860,20949,20761,20671,20941,20822,20846,20966,21183,21373,21236,21335,21306,21562,21600,21605,21709,21641,21818,21741,21821,21856,22136,22173,22076
