pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-165.999,-164.999,-163.999,-162.999,-161.999,-160.999,-159.999,-158.999,-157.999,-156.999,-155.999,-154.999,-153.999,-152.999,-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
7.13,14.955,1.4,1334.5,390.09,110.61,0.702,210.83,34,3,1000,25070,21437,20372,20383,20435,20289,19990,20315,20410,20738,20620,20288,20411,20324,20498,20310,20397,20024,20048,20139,20072,20187,19915,19491,19303,19719,19512,19261,19176,19131,18639,18388,17923,17486,16644,15358,13540,10439,6041.9,2171,2091.9,5004,8643.1,11136,13432,15035,16394,17016,17434,17943,18156,18725,18957,19094,19144,19413,19297,19304,19193,19526,19685,19683,19389,19367,19354,19638,19692,19439,19080,19314,19392,19316,19299,19319,19543,19509,19412,19520,19394,19381,19371,19291,19187,19055,19426,19672,19780,19693,19902,19705,20046,19877,20058,19854,19735,20126,20240,20226
7.27,14.818,1.4,1335.9,342.36,108.33,0.74085,222.5,34,3,1000,26962,23361,22408,22354,22221,22067,22000,22110,22149,22064,21909,21922,22169,22096,22108,22411,22097,21842,21863,21769,22280,21812,21551,21478,21280,21225,21019,21082,20837,20890,20775,20091,19655,18922,18110,17044,14654,11859,7058.2,2713.1,1777.9,4463.8,8493.3,11787,14149,15836,17391,18307,18829,19413,19846,20015,20242,20114,20564,20739,20740,20591,20567,20537,20683,20919,20682,20470,20518,20668,20416,20434,20253,20125,20090,20083,20234,20247,20740,20790,21182,20833,20951,20953,21019,21140,21327,21343,21320,21331,21143,21216,21754,21530,21340,21705,21571,21830,21795,21845,22270,22009
6.27,14.97,0.86,807.88,330.71,101.3,0.68415,205.47,34,3,1000,26832,24327,23884,23900,23591,23918,23718,23752,23612,23639,23814,23781,23822,23871,23688,23861,23988,23659,23387,23462,23843,23449,23050,23451,23099,23119,22919,22530,22414,22558,22018,21864,21594,20748,20125,19019,16678,13575,8161.6,3009.4,3435.5,8152.5,12429,15565,17591,19242,20443,20961,21366,21496,22145,22194,22425,22512,22564,22610,22782,22668,23049,22956,22932,22954,23045,23315,23123,23145,23103,23042,23110,22888,22922,23017,22946,23059,23255,23312,23225,23159,23272,23202,22937,23284,23133,22936,22791,23009,23259,23548,23150,23312,23308,23596,23514,23776,23680,23505,23547,23620
6.39,14.946,0.86,817.58,335.28,96.548,0.69374,208.36,34,3,1000,23977,22166,22013,21911,21853,22036,21955,21972,21663,21913,21867,21753,21827,21709,21914,21912,21763,21602,21858,22020,21708,21543,21377,21771,21556,21287,21067,21295,21100,20957,20469,20290,19957,19556,18924,17737,15880,12948,8014.8,3244.8,3549.6,7689.9,11995,14909,16609,18298,19083,19612,20173,20151,20742,20658,20906,21188,20993,21166,21160,21297,21234,21391,21411,21303,21521,21388,21210,21418,21307,21257,21526,21441,21288,21229,21567,21660,21519,21334,21614,21446,21385,21163,21442,21377,21467,21271,21177,21492,21600,21685,21497,21519,21659,21784,21752,21948,21901,21716,21581,21650
6.56,14.955,0.86,829.8,349.46,89.361,0.52461,157.56,34,3,1000,20837,19162,19020,18699,18842,18500,18650,18830,18791,18779,18713,18778,18947,18945,18625,18783,18921,18715,18783,18752,18507,18503,18422,18391,18087,17789,18335,17966,18262,17818,17439,17246,16877,16339,15601,14101,11836,8116.8,3555.3,2600.9,5935.6,9473.2,12209,13902,15468,16194,16650,17080,17385,17645,17825,17847,18142,18134,18214,18263,18111,18282,18421,18195,18332,18437,18571,18384,18322,18328,18393,18114,18314,18390,18379,18369,18432,18438,18390,18385,18443,18561,18245,18193,18303,18132,18244,18578,18408,18209,18543,18162,18725,18529,18296,18438,18649,18488,18638,18728,18799,18834
6.72,14.881,0.86,778.21,308.34,112.28,0.37356,112.19,34,3,1000,24909,22384,21609,21591,21590,21703,21572,21762,21525,21674,21834,21792,21768,21515,21795,21696,21743,21561,21268,21571,21639,21586,21002,21043,20709,20615,20561,20357,20186,19761,19360,19079,18343,17410,15760,13175,9151.2,4242.2,2085.9,4830.4,8925.2,12453,14548,16337,17727,18516,18746,19251,19726,20010,20234,20357,20806,20456,20842,20895,20894,20854,20786,20711,21038,20806,20874,20885,20759,20655,20604,20904,20907,20454,20967,20849,20824,20879,20975,21105,20829,20788,20917,20774,20598,21224,20920,21043,20945,21151,21453,21259,21315,21384,21378,21220,21321,21320,21541,21564,21505,21670
6.82,14.851,0.86,783.76,327.61,102.33,0.34696,104.2,34,3,1000,23527,21338,21078,20999,20919,20994,20924,21122,20782,20953,21005,20789,21051,20859,21051,20910,20916,20790,20760,20844,20770,20887,20536,20511,20192,19971,20033,19985,19648,19473,19259,18649,18109,16927,15539,13041,8830.5,3903,2299.6,5654.1,9511.3,12667,15064,16483,17744,18263,18737,19012,19577,19534,19872,19966,19930,20136,20052,20041,20056,20098,20333,20365,20055,20073,20241,19983,20138,19993,19876,19838,19927,20244,20184,20097,20318,20099,20450,20285,20202,20228,20250,20231,20199,20313,20316,20221,20506,20329,20509,20515,20706,20595,20756,20659,20579,20809,20844,20804,20726,20760
7.02,14.888,0.86,771.82,318.09,87.182,0.36859,110.7,34,3,1000,19430,17716,17813,17711,17620,17510,17349,17608,17358,17332,17336,17647,17521,17569,17736,17622,17418,17408,17741,17531,17474,17622,17226,17137,17003,16913,16949,16919,16660,16501,16274,16121,15283,14775,13528,11415,8246.9,4334.8,2437.9,4642.6,7781.9,10764,12430,13668,14642,15486,15697,16070,16391,16431,16429,16776,16799,16846,16788,16971,16902,16945,16868,17056,17077,16824,16747,16699,16651,16604,16675,16649,16751,16885,16838,16952,16863,16924,17036,17107,16899,16941,17176,17034,17106,17097,17362,16685,17448,17191,17214,17158,17293,17206,17367,17500,17386,17344,17336,17556,17415,17457
7.13,14.849,0.86,794.34,280.86,110.06,0.12805,38.457,34,3,1000,23634,21221,20911,20928,21004,20709,20785,20790,21006,21007,20915,20922,20926,20932,20869,21019,21240,20897,20738,20416,20608,20731,20288,20033,20035,19883,19436,19183,18994,18560,18252,17463,16476,14641,11795,7456.5,3084.2,2373.1,5168.9,9294.3,12096,14297,15744,17151,17488,18279,18691,19117,19240,19446,19517,19699,19524,19822,19589,19708,19860,20182,19807,19561,19822,19847,19353,19475,19370,19295,19614,19796,19836,19724,19956,19818,20114,19982,20145,20242,20374,20081,20158,20005,20333,20471,20497,20399,20295,20385,20407,20593,20316,20429,20650,20572,20681,20729,20716,20707,20690,20708
