,6.5,7.0
-1.2,0.12,0.27
-1.4,3.78,1.16
0.6,0.31,0.55
1,1.62,0.71
1.2,-0.67,-0.38
2,0.03,0.54
2.4,1.23,2.9
2.8,3.55,-0.08
3.3,0.0,-0.99
4.3,-0.89,-0.61
4.4,-0.84,0.0
4.5,-0.98,0.0
4.8,-0.99,-0.44
5,-0.93,-0.99
5.6,1.36,0.18
5.7,4.71,2.19
5.8,8.74,3.43
5.9,1.83,11.21
6,3.17,5.15
6.1,0.4,1.73
6.2,1.09,0.0
6.3,0.83,-0.37
ExpB0(Hz),0.31,0.22
