pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
6.27,4.9955,0.86,780.72,330.04,107.29,0.39398,118.33,34,6,6000,24260,24157,24115,23040,23155,22885,22902,22458,21210,21066,20567,20302,19821,19438,18734,18035,17219,15958,14597,12846,10417,7821.9,5065.9,3057.8,2161.8,2917.1,4742.5,7202.9,9653.1,11993,13807,15238,16269,17257,18033,18835,19311,19631,19999,20234,20387,20610,20576,20654,20863,20748,20895,21118,21133,21002,21189,21212,21353,21407,21547,21592,21563,21517,21686,21776,21838,21662,21800,21882,21926,21926,22176,21864,22000,22241,22183,21999,22127,22255,22411,22296,22481,22318,22518,22381,22559,22747,22609,22908
6.42,4.9925,0.86,773.75,330.78,110.51,0.5636,169.27,34,6,6000,27476,27095,26922,26013,25810,25879,25795,25210,24025,23633,23388,23004,22489,22276,21358,20869,20201,18921,17409,15655,13411,10910,7749.3,5164.7,3093.8,2348.6,3344.8,5707.5,8565.7,11259,13488,15759,17281,18485,19676,20276,21137,21758,21982,22339,22522,22893,23004,23015,23179,23324,23328,23650,23465,23869,23778,23754,23862,23837,23963,23892,24098,24088,24272,24402,24437,24243,24256,24617,24519,24592,24514,24389,24499,24442,24521,24749,24838,24955,25066,25009,25163,25261,25237,25294,25541,25654,25635,25601
6.56,4.9875,0.86,774.47,342.89,104.58,0.59443,178.53,34,6,6000,27479,27354,27328,25998,25892,25681,25712,25448,23879,23818,23452,23071,22700,22200,21579,21035,20333,19239,18041,16215,14123,11680,8705.6,5494.5,3173.4,2279.7,3099.9,5399.8,8400.3,11196,13574,15594,17155,18475,19823,20436,21454,21770,22201,22325,22568,22622,22943,22997,23073,23219,23409,23564,23613,23683,23810,23816,23975,23875,23825,24133,24149,24192,24174,24217,24232,24242,24298,24537,24336,24417,24459,24555,24602,24707,24686,24703,24862,24848,24878,24993,25107,25096,25008,25354,25433,25649,25690,25890
6.71,4.9766,0.86,759.39,354.18,98.364,0.54333,163.18,34,6,6000,25480,25269,25222,24163,24063,24159,24162,23562,22656,22118,21864,21608,21324,20826,20609,19766,18984,18205,16915,15345,13228,10684,7795.7,4774.1,2614.5,2214.5,3532.8,6082.8,8897.1,11417,13595,15501,16942,17904,19159,19701,20347,20536,21082,21201,21287,21488,21553,21617,21955,21952,21837,21889,22179,22100,22203,22342,22375,22286,22433,22478,22561,22682,22813,22509,22787,22789,22764,22727,22694,22860,22692,22688,22939,22945,22859,23145,22979,23021,23415,23284,23399,23464,23574,23550,23674,23815,23872,23817
6.87,4.9554,0.86,734.04,368.12,91.8,0.31928,95.891,34,6,6000,21668,21426,21594,20650,20767,20448,20459,20425,19137,18991,18930,18627,18174,17702,17168,16821,15998,14793,13486,11831,9543.1,7008.4,4177.3,2151.1,1904.3,3277.6,5591.7,8241,10625,12474,13808,14983,16018,16477,17114,17489,17844,18180,18377,18559,18648,18797,18759,18888,18893,18920,18814,18909,19085,19059,19007,19206,19189,19197,19236,19311,19422,19394,19422,19354,19516,19470,19411,19412,19601,19661,19512,19442,19751,19572,19876,19903,19824,20072,19971,20164,20038,20222,20139,20219,20365,20446,20479,20708
6.98,4.9505,0.86,763.65,342.25,107.33,0.10194,30.615,34,6,6000,24130,24097,24018,22965,23010,22730,22806,22400,20967,20476,20168,19588,19254,18557,17557,16626,15453,13826,11886,9230.9,6567.3,3995.7,2309.3,2148.9,3510.9,5668.1,8602.8,10790,12771,14349,15825,16939,17570,18377,18728,19466,19703,20020,20381,20474,20487,20455,20539,20498,20727,20948,20849,20898,20922,20963,21030,21004,21017,21201,21353,21260,21269,21416,21284,21457,21512,21437,21577,21587,21568,21492,21623,21696,21918,21981,22032,21938,21966,22205,22255,22266,22261,22532,22578,22269,22488,22662,22742,22976
7.12,4.9935,0.86,766.96,318.92,112.3,0.23454,70.441,34,6,6000,26992,26922,26950,25573,25457,25604,25457,25124,23322,23012,22447,22056,21244,20731,20092,19104,17721,16316,14244,11732,9042.2,5986.1,3466.5,2265.6,2834.3,4498.9,7263.9,9911.9,12382,14618,16495,17629,18796,19609,20308,20794,21340,21864,22278,22517,22445,22665,22757,22839,22775,22886,23077,23104,23133,23228,23122,23078,23189,23332,23434,23519,23472,23497,23559,23810,23794,23743,23778,23858,23875,24034,23954,24124,24295,24320,24323,24424,24404,24525,24557,24730,24704,24833,24757,24993,25002,25236,25295,25434
7.28,4.9811,0.86,756.41,331.74,108.44,0.25966,77.985,34,6,6000,26935,26870,26627,25579,25533,25229,25319,24827,23378,23020,22611,22003,21550,20797,20299,19492,17955,16617,14688,12381,9398.7,6553.4,3955.5,2130.7,2484.3,4280.5,6767.3,9811.3,12142,14384,15978,17629,18844,19561,20428,21003,21545,21663,22174,22274,22228,22505,22425,22573,22745,22667,22785,22852,22850,22745,22757,22795,22929,23160,23015,23473,23368,23388,23420,23650,23517,23809,23857,23998,23964,23884,24060,24106,24195,24069,24348,24384,24344,24465,24556,24656,24818,24895,24936,24787,25243,25210,25257,25294
6.24,4.996,0.6,534.52,281.81,101.58,0.29023,87.166,34,6,6000,25021,24936,24804,23853,23686,23595,23579,23009,21786,21700,21308,21138,20528,19983,19421,18619,17698,16444,14798,12840,10189,7446.4,4638.8,3050,3046.2,4606.9,7276.1,9837.2,12178,14323,15959,17063,18164,18882,19512,20018,20471,20789,21204,21403,21427,21374,21779,21542,21647,21786,21886,22170,22055,21947,22120,22216,22129,22318,22321,22434,22413,22382,22622,22695,22736,22692,22682,22850,22750,22746,22649,22831,22835,22875,22926,22855,23085,23003,23039,23167,23261,23111,23190,23149,23500,23441,23542,23556
