pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-153.999,-152.999,-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
6.24,9.987,0.43,421.39,205.41,119.88,0.57416,172.44,34,1,4000,27027,26668,26814,26659,26867,26671,26642,26779,26811,26711,26724,26722,26655,26605,26598,26640,26694,26414,26374,26475,26381,26203,25697,25563,25056,23805,18640,13989,21214,24763,25614,26045,26316,26347,26354,26319,26652,26392,26722,26544,26537,26689,26555,26535,26553,26707,26542,26756,26785,26698,26856,26552,26592,26707,26769,26532,26557,26654,26768,26648,26593,26580,26715,26635,26686,26661,26650,26713,26537,26869,26725,26799,26730,26645,26493,26610,26539,26642,26795,26696,26528,26669,26721,26697,26743,26567
6.38,9.9761,0.43,414.73,220.47,106.83,0.70784,212.59,34,1,4000,25935,25826,25588,25515,25563,25590,25656,25709,25522,25396,25733,25235,25567,25690,25554,25626,25558,25443,25469,25477,25522,25151,25259,25112,24678,24009,22863,15826,15250,23419,24496,24956,25129,25445,25445,25231,25553,25515,25572,25646,25287,25503,25581,25492,25731,25513,25513,25415,25380,25532,25643,25653,25666,25399,25489,25585,25603,25475,25570,25343,25274,25525,25499,25549,25614,25654,25367,25512,25503,25694,25614,25691,25668,25551,25528,25528,25622,25533,25541,25551,25446,25417,25741,25675,25720,25767
6.58,9.98,0.43,415.41,223.26,102.57,0.73469,220.65,34,1,4000,25438,25138,25456,25325,25262,25255,25087,25312,25396,24957,25235,25407,25092,25367,25229,25064,25110,25104,24990,24932,25081,24979,24947,24851,24169,23836,22988,18356,12817,23042,24072,24553,24947,25101,25213,24899,24645,25261,25321,25229,25003,25089,25022,25269,25297,25318,25325,25338,25133,25159,25098,25559,25477,25201,25023,25286,25308,25146,25301,25318,25186,25219,25113,25048,25162,25338,25223,25201,25151,25083,25214,25369,25351,25211,25044,25031,25282,25131,25249,25187,25194,24968,25036,25162,25268,25315
6.69,9.9582,0.43,413.72,223.44,105.23,0.64633,194.12,34,1,4000,25770,25511,25278,25579,25438,25605,25579,25439,25535,25596,25422,25330,25352,25550,25419,25541,25122,25196,25408,25336,25069,24875,25118,24672,24101,23602,21927,10882,19561,23731,24699,24959,24961,25122,25232,25350,25367,25287,25235,25283,25234,25451,25394,25310,25369,25518,25260,25278,25440,25540,25326,25481,25556,25424,25392,25325,25512,25178,25458,25454,25490,25469,25450,25538,25360,25339,25362,25317,25389,25345,25477,25509,25397,25321,25288,25446,25297,25439,25563,25137,25539,25404,25511,25520,25627,25253
6.84,9.9502,0.43,397.8,218.79,112.74,0.33435,100.42,34,1,4000,25901,25644,25503,25775,25557,25681,25588,25552,25688,25453,25536,25409,25270,25334,25536,25371,25429,25328,25185,25062,24917,25005,24468,23790,22744,16987,12367,22179,23929,24440,24754,25114,25130,25288,25289,25332,25367,25382,25454,25476,25456,25529,25414,25473,25442,25509,25386,25566,25353,25399,25535,25416,25471,25589,25487,25426,25442,25495,25590,25591,25530,25579,25281,25511,25440,25482,25682,25612,25486,25462,25360,25417,25466,25439,25605,25541,25501,25443,25519,25498,25309,25457,25376,25427,25683,25526
6.99,9.8863,0.43,420.7,213.19,112.25,0.1913,57.453,34,1,4000,24521,24216,24241,24239,24050,24111,24038,24114,24289,24182,24122,24264,24004,24153,24134,23893,23927,23958,23964,23659,23333,23224,22727,22031,18967,9691,19544,22397,23245,23474,23754,23822,23923,24092,23815,24011,24082,23955,24071,23969,24192,24219,24025,24019,24086,23991,24054,24160,24130,24036,23994,24100,23973,24020,23963,24107,23905,24230,24172,24233,24275,24099,24165,24088,23958,24251,24116,24202,23934,24035,24020,24152,24189,24173,24159,24109,24125,24056,24117,24165,24126,24113,24015,24047,24278,24152
7.15,9.986,0.43,415.65,214.01,106.86,0.35079,105.35,34,1,4000,23693,23613,23461,23332,23589,23486,23314,23486,23478,23369,23495,23368,23399,23399,23356,23476,23300,23354,23209,23449,23331,22676,22629,22095,21324,17330,10648,20856,22610,22802,23115,23238,23464,23278,23312,23234,23413,23503,23493,23429,23658,23370,23370,23460,23588,23208,23363,23201,23457,23388,23322,23385,23448,23354,23153,23415,23363,23312,23291,23245,23269,23512,23354,23508,23542,23428,23446,23290,23437,23283,23440,23397,23295,23434,23380,23307,23336,23441,23203,23368,23310,23507,23345,23318,23475,23404
7.29,9.9721,0.43,400.63,208.73,105.3,0.32805,98.526,34,1,4000,24039,24063,24154,23816,23884,24015,23844,24164,24114,23813,23982,23899,23939,23905,23792,23825,23927,23933,23737,23686,23638,23439,23188,22628,21677,16791,12309,21622,23044,23461,23464,23704,23745,23754,23734,23780,23868,23775,23999,23836,23759,23853,23929,23776,24192,24217,24096,24111,23976,23911,23952,24065,23902,23917,23774,23804,23755,23992,23969,23929,23770,23886,23839,23903,23993,24215,24029,23887,23976,23809,23883,24176,23975,23942,24054,23765,24003,23858,23931,23960,24002,23891,23881,23938,24107,24025
6.22,4.988,3.4,3676.4,576.3,107.48,0.30209,90.728,34,1,4000,23074,21033,20538,20321,20319,20560,20530,20412,20483,20479,20583,20403,20456,20382,20392,20381,20296,20169,20289,20058,20098,19791,19489,18616,17284,8999.6,9371.8,16022,18422,19123,19825,20054,20132,20364,20347,20175,20202,20362,20344,20446,20446,20504,20385,20471,20306,20435,20278,20319,20405,20529,20446,20611,20407,20371,20084,20466,20587,20544,20280,20570,20382,20371,20434,20413,20510,20453,20174,20287,20239,20241,20333,20545,20425,20382,20413,20456,20615,20418,20417,20395,20477,20236,20389,20419,20406,20439
