pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
7.15,14.908,0.6,489.47,237.86,106.59,0.60477,181.63,34,3,6000,24355,24481,24362,24029,23751,23699,23536,23498,23037,22808,22661,22656,22644,22577,22155,22015,21564,21523,20938,20247,19449,17940,15674,11756,6437.5,3428.3,5832.4,10108,14175,16606,18579,19603,20464,20837,21286,21317,21687,22249,22432,22345,22569,22351,22607,22562,22640,22401,22555,22602,22437,22635,22873,22581,22476,22321,22453,22496,22508,22633,22756,22826,23015,22920,23175,23071,23061,23071,22939,23147,23121,23264,23381,23267,23303,23041,23286,23438,23326,23647,23616,23560,23697,23708,23758,23969
7.28,14.874,0.6,534.84,233.47,102.88,0.69735,209.44,34,3,6000,26551,26191,26259,25881,25703,25750,25628,25401,25017,24896,24540,24633,24568,24264,24165,24071,23739,23397,22985,22517,21635,20355,18302,14798,9460.1,4682.5,4772.9,9221.9,14109,17292,19584,20906,21941,22503,22835,23198,23609,24068,24061,24342,24438,24391,24494,24491,24269,24449,24517,24476,24264,24542,24610,24481,24422,24520,24343,24173,24456,24377,24440,24526,24797,24890,24941,24791,24833,24911,25097,25176,25216,24999,25164,25203,25545,25067,25257,25477,25235,25512,25485,25408,25664,25729,25732,25811
6.25,14.954,0.43,424.97,215.8,94.951,0.59503,178.71,34,3,6000,26064,26095,25781,25549,25346,25451,25614,25072,24743,24675,24467,24187,24047,24247,24147,23720,23633,23222,22747,22045,21517,20265,17898,13849,7986.1,4235.1,7929.3,13392,16881,19349,20769,22052,22485,22982,23188,23599,23813,23770,24443,24586,24322,24525,24549,24528,24371,24486,24871,24599,24600,24580,24671,24733,24621,24620,24904,24885,24997,24808,24563,24811,24886,24772,25024,25058,25066,24846,24920,24966,24942,24914,24951,25083,25051,24992,25098,25043,25178,25407,25263,25118,25218,25221,25517,25682
6.43,14.945,0.43,407.45,216.63,88.619,0.56663,170.18,34,3,6000,23950,23760,23744,23286,23531,23280,23314,23284,22809,22497,22467,22446,22272,22223,21969,21986,21636,21380,21172,20656,19979,18611,16352,12653,6734.9,4089.1,8560.6,13470,16430,18412,19673,20553,21091,21398,21647,21815,21902,22512,22262,22325,22583,22484,22457,22697,22623,22733,22788,22839,22490,22581,22823,22665,22809,22745,22677,22746,22762,22759,22677,22998,23034,22753,23050,22797,22732,22942,22913,22952,22957,22962,23111,23088,23101,23342,23042,23101,22971,23371,23323,23333,23156,23604,23396,23285
6.58,14.925,0.43,396.36,220.54,83.234,0.3043,91.392,34,3,6000,19906,20001,19903,19763,19764,19867,19476,19763,19169,18994,19172,18959,18637,18716,18470,18470,18157,17899,17302,16780,15525,13245,9623.5,4919.4,4223.4,8722.8,12267,14367,15977,16984,17583,17813,18019,18181,18576,18685,18854,19012,19077,19128,19072,18975,19218,19204,19328,19422,19430,19223,19405,19329,19340,19255,19104,19349,19333,19320,19256,19363,19470,19416,19457,19430,19210,19326,19239,19361,19396,19231,19643,19433,19373,19548,19692,19603,19660,19660,19565,19599,19664,19711,19677,19624,20064,19839
6.68,14.896,0.43,392.04,207.77,111.53,0.36638,110.04,34,3,6000,24877,24775,24788,24458,24214,24407,24408,24048,23514,23317,23114,23223,22959,22468,22654,22192,21728,21598,20762,19790,18027,15570,11683,5926.2,4567.4,7984.2,12490,16048,18014,19646,20614,21321,21652,21899,22416,22528,22725,23018,23024,23344,23528,23546,23377,23617,23450,23421,23510,23372,23440,23685,23628,23383,23321,23522,23682,23393,23596,23696,23730,23564,23645,23713,23724,23774,23764,23888,23778,23704,23912,23820,24066,24170,23942,24047,24175,24148,24302,23960,24373,24573,24167,24149,24197,24511
6.83,14.838,0.43,416.97,205.1,112.29,0.27436,82.399,34,3,6000,27442,26979,27334,26993,26689,26418,26615,26339,25742,25664,25424,25303,25182,24575,24529,24161,23683,23023,22331,21099,18667,15139,9627.5,4642.8,5750.8,10895,15418,18395,20259,21907,23066,23318,23750,24183,24535,24948,25200,25175,25389,25463,25668,25694,25708,25574,25560,25700,25598,25681,25587,25496,25589,25676,25651,25662,25546,25868,25740,25824,25886,25838,25791,26079,25876,25904,25761,26046,25956,26069,26155,26110,26244,26229,26177,26327,26251,26495,26565,26579,26487,26501,26518,26515,26651,26699
7.03,14.933,0.43,408.75,204.42,106.68,0.2395,71.93,34,3,6000,27071,26918,26632,26421,26373,26330,26350,26107,25365,25321,24912,25022,25043,24525,24095,23840,23475,22781,22065,20478,18386,14352,8441.2,4259.4,6585.1,12112,16216,18896,20873,22054,22825,23243,23722,24138,24515,24743,24887,25047,25106,25124,25295,25077,25089,25199,25175,25368,25403,25094,25332,25295,25291,25241,25260,25330,25280,25546,25577,25572,25537,25677,25585,25456,25617,25654,25584,25607,25768,25861,26059,25875,25794,26026,26148,25914,26150,25866,26226,26330,26224,26148,26291,26539,26569,26383
7.14,14.882,0.43,398.36,198.98,98.724,0.16678,50.088,34,3,6000,23916,23844,23948,23722,23568,23547,23612,23406,22761,22808,22558,22367,22188,21956,21902,21335,21090,20436,19682,18280,15880,11791,6175.2,3988.1,7786.7,12555,15745,17924,19347,20270,20642,21225,21639,21828,22090,22349,22328,22513,22628,22501,22585,22817,22588,22699,22898,22617,22794,22767,22518,22634,22463,22672,22691,22723,22741,22935,22813,22909,22991,22884,23037,23047,22804,23019,22922,23042,22738,23239,23188,23145,23230,23296,23558,23370,23377,23289,23317,23490,23621,23287,23769,23502,23461,23709
