pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-182.999,-181.999,-180.999,-179.999,-178.999,-177.999,-176.999,-175.999,-174.999,-173.999,-172.999,-171.999,-170.999,-169.999,-168.999,-167.999,-166.999,-165.999,-164.999,-163.999,-162.999,-161.999,-160.999,-159.999,-158.999,-157.999,-156.999,-155.999,-154.999,-153.999,-152.999,-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
7.15,14.908,0.6,518.84,236.66,103.47,0.63826,191.69,37,4,500,24281,21590,20961,21150,21001,20914,21037,20897,21061,21227,20886,21114,20835,20963,21016,20902,20979,20906,21037,20874,21322,21057,20935,21086,21225,21059,20817,20897,21096,20944,20862,21041,20875,20950,20531,20852,20868,20756,20771,20287,20186,20194,20301,20037,19695,19593,19455,19066,18706,18083,17732,16311,14755,12314,9278.8,5430,2974.2,4114.8,7287.9,10253,12666,14706,16137,17008,17751,18153,18551,19290,19247,19520,19414,19757,19580,19872,19718,19884,19872,19779,19850,20365,19989,19837,19772,19871,19735,19823,19759,19856,19928,20015,20021,20319,20055,20183,20150,20308,20272,20303,20144,20461,20295,20122,20451,20298,20612,20538,20569,20419,20786,20735,20667,20768,20792,20728,20601
7.28,14.874,0.6,558.98,232.67,100.41,0.75114,225.59,37,4,500,26350,23400,22654,22715,22768,22901,22632,22835,22835,22729,22824,22658,22721,22806,22806,22733,22629,22647,22741,22598,22799,22691,22786,22695,22885,22734,22675,22589,22779,22727,22772,22833,22827,22925,22698,22528,22570,22770,22554,22078,22077,22141,21938,21734,21550,21440,21280,20846,20419,20213,19642,18785,16991,15134,11994,8074.7,4170.3,3500.9,5749.2,9471.8,12567,15096,16846,18150,18996,19699,20385,20623,20916,20988,21232,21389,21280,21578,21641,21631,21327,21638,21620,21677,21426,21399,21596,21916,21653,21182,21481,21537,21561,21512,21653,21892,21852,21922,21895,21680,21980,22028,22055,21985,21946,22157,22082,22175,22056,22259,22439,22289,22729,22463,22423,22592,22656,22503,22376
6.25,14.954,0.43,445.13,220.1,93.594,0.66195,198.81,37,4,500,26057,23762,23443,23604,23378,23238,23340,23159,23245,23278,23220,23192,23070,23357,23182,23306,23238,23335,23315,23306,23032,23509,23219,23133,23218,23113,23453,23334,23146,23181,23247,23041,23033,23332,23024,23090,23068,23103,23169,22561,22628,22636,22407,22266,22100,22018,21849,21383,20974,20814,19893,19227,17596,15194,11810,7397.2,4259.5,4775.1,8648.6,12479,15251,17420,18841,19742,20213,20953,21353,21526,21818,22343,22188,22126,22159,22558,22582,22518,22408,22420,22543,22852,22342,22639,22602,22457,22556,22358,22563,22870,22652,22622,22672,22606,22863,22829,22522,22972,22775,22588,22689,22627,22792,22804,22889,23051,23050,22953,22968,22801,23033,22984,23232,22954,23135,23026,23035
6.43,14.945,0.43,423.03,222.05,86.422,0.64443,193.55,37,4,500,23816,21890,21535,21661,21325,21430,21196,21509,21367,21455,21683,21425,21616,21509,21379,21518,21561,21362,21412,21645,21516,21367,21528,21483,21454,21358,21456,21394,21507,21283,21266,21470,21430,21447,21561,21334,21274,21340,21199,20958,20974,20992,20870,20697,20624,20373,20151,20166,19625,19384,18701,17853,16448,14632,10963,6910.6,4381.3,4846.5,8821.4,12208,14926,16548,17920,18640,18991,19506,19744,20093,20212,20660,20487,20549,20659,20906,20637,20657,20992,20870,20936,20872,20952,20921,20828,20951,21155,20898,20903,20815,21008,20953,21177,20743,21050,20934,21048,20889,20974,21063,21151,20987,21034,21019,21286,21174,21120,21154,21322,21007,21233,21226,21220,21501,21284,21418,21552
6.58,14.925,0.43,414.49,224.92,80.15,0.38948,116.97,37,4,500,20123,18506,18469,18578,18281,18404,18316,18181,18144,18508,18244,18235,18110,18221,18199,18367,18297,18310,18318,18372,18156,18092,18144,18306,18126,18376,18301,18385,18159,18107,18204,18386,18309,18198,18272,18422,18058,18180,18006,17951,17692,17559,17752,17406,17409,17270,16960,16644,16378,15846,14989,13915,12196,9235.2,5363.9,3084.3,5044.6,8040.5,10953,13136,14451,15440,15720,16601,16728,17030,17201,17141,17590,17481,17570,17679,17597,17801,17874,17605,17840,17809,17648,17984,17873,17986,17873,17834,17880,18083,17943,17804,17951,18051,17924,17981,18084,17975,17661,17818,17859,17862,18023,17900,17905,17986,18187,17798,18069,17926,18275,18201,18085,18060,18217,17934,18198,18105,18051
6.68,14.896,0.43,410.97,212.22,108.48,0.39979,120.07,37,4,500,25074,22552,22454,22536,22497,22171,22515,22215,22605,22459,22270,22127,22519,22443,22357,22477,22102,22423,22529,22345,22288,22397,22244,22332,22351,22182,22165,22098,22048,22118,22275,22172,22057,22172,22294,21914,22239,22285,21888,21416,21737,21686,21191,21276,20643,20456,20254,19640,19192,18332,17293,15193,12818,9121.6,5713.7,3650.2,5254.9,9025.1,11997,14855,16411,17589,18576,19216,19819,20315,20509,20725,20889,21039,21367,21497,21264,21354,21531,21405,21332,21332,21688,21386,21439,21490,21453,21547,21661,21535,21110,21582,21541,21584,21661,21611,21601,21703,21643,21662,21740,21471,21696,21662,21677,21812,21595,22001,22015,22122,22014,22179,22134,22074,22180,22128,22269,22223,22257
6.83,14.838,0.43,434.66,209.71,109.81,0.33117,99.461,37,4,500,27517,24930,24543,24396,24321,24419,24240,24299,24407,24305,24177,24484,24306,24224,24131,24284,24349,24240,24407,24351,24390,24251,24371,24199,24288,24320,24443,24372,24437,24323,24319,24211,24361,24189,24203,24228,24244,24206,23973,23498,23439,23268,22807,22621,22375,22124,21650,21325,20458,19321,17876,15690,12504,8615.7,4805.2,4283.3,6722.2,10683,14105,16590,18424,19695,20374,21226,21597,22006,22421,22610,22965,22989,23011,23014,23211,23100,23388,23364,23312,23357,23455,23225,23108,23058,23252,23455,23240,23338,23306,23320,23434,23163,23489,23558,23341,23416,23356,23421,23514,23480,23696,23594,23747,23670,23611,23762,24012,23951,23801,23949,24237,23906,24178,24089,24129,23831,24038
7.03,14.933,0.43,428.59,205.67,104.89,0.30534,91.705,37,4,500,27024,24748,24342,24188,24168,23987,24199,24077,24208,24246,24213,24110,24285,24175,24398,23955,24320,24188,24164,24290,24166,24177,24393,24234,24112,23817,24145,24467,24114,24131,24158,24102,24193,24246,24024,24116,23966,23882,23916,23298,23261,23087,23203,22453,22391,22109,21541,21259,20507,19397,18062,15800,12282,8347.8,4767.2,4576.8,7412.6,11338,14398,16713,18662,19587,20424,21181,21532,22013,22049,22553,22575,22760,22952,22820,23060,22988,23298,23167,23157,23111,23209,22951,23106,22721,23233,22942,23193,23147,23116,23210,23133,23494,23296,23282,23358,23378,23303,23597,23217,23527,23327,23732,23635,23642,23638,23850,23964,23969,23920,23769,24109,24001,23832,24068,24036,23939,23922
7.14,14.882,0.43,420.76,199.13,97.308,0.2499,75.053,37,4,500,24059,22168,21828,21858,21599,21744,21832,21731,21675,21786,21897,21760,21872,21841,21751,21804,21839,21859,21942,21806,21746,21703,21716,21732,21843,21669,21688,21762,21917,21835,21576,21776,21764,21806,21590,21627,21763,21568,21406,21114,20988,20877,20697,20422,20191,20020,19513,19003,18474,17489,15824,13836,10492,6552.1,3969.6,4816.4,7960.6,11330,14056,16026,17151,18134,18687,19252,19693,19835,20399,20294,20472,20587,20970,20762,20641,20945,20834,20806,20830,20811,20792,20797,20825,20690,20524,20733,20750,20893,20842,20796,20971,21212,21149,21211,21191,21058,21062,20899,21160,21305,21414,21181,21525,21574,21396,21456,21312,21389,21475,21403,21448,21678,21818,21510,21526,21513,21724
