pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-182.999,-181.999,-180.999,-179.999,-178.999,-177.999,-176.999,-175.999,-174.999,-173.999,-172.999,-171.999,-170.999,-169.999,-168.999,-167.999,-166.999,-165.999,-164.999,-163.999,-162.999,-161.999,-160.999,-159.999,-158.999,-157.999,-156.999,-155.999,-154.999,-153.999,-152.999,-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
7.16,9.8922,3.4,4177.3,451.37,113.11,0.3973,119.32,40,6,500,23424,16401,13450,12350,11557,11048,10912,10756,10858,10740,10725,10749,10687,10743,10656,10610,10860,10591,10693,10700,10631,10788,10667,10441,10592,10669,10630,10511,10832,10578,10726,10906,10600,10803,10550,10324,10475,10375,10189,9608.6,9227.7,8912.4,8485.9,8356.5,7934.8,7360.5,7155.3,6516.6,5931.3,5060,4535.5,3389.3,2322.7,1793.4,1188.6,879.84,771.42,1116.4,1467.1,2178.4,2959.7,3684,4340.4,4726.9,5436.8,5812.7,6307.8,6515.6,7114.6,7178.3,7340,7534.2,7808.1,7828.9,8133.8,7987.7,8167.8,8089.4,8110.6,8224.1,8243.6,8245,8159,8091,8313.8,8429.1,8303.2,8440.2,8704,8728.1,8671.4,8677.1,8602.4,8848,8816.1,8884.8,8796.7,8984.4,8942.8,8935.9,9295.1,9033.6,9147,9377.7,9521.7,9607.4,9558.8,9638.1,9802.6,10010,9883.8,9929.9,9912.8,10174,10294
7.27,9.9463,3.4,4249.3,456.28,113.57,0.48624,146.04,40,6,500,25876,18599,15508,14129,13014,12810,12514,12208,12214,12285,12199,12117,12071,12164,12133,12321,12193,12019,11911,12223,12505,12087,12180,12135,12246,12120,12233,12220,12133,12353,12184,12323,12133,12032,11943,11780,11883,11814,11607,11116,10413,10244,9714.3,9470.6,9118.3,8668.4,8270.4,7716.6,6838.9,6375.4,5362.7,4155.3,3134.2,2012.6,1113.2,1035.8,957.22,1136.4,1492.5,2176.8,3049.7,3766.8,4595.5,5178.7,5894.1,6377,6849.6,7307.7,7868.8,8295.7,8253,8485,8633.2,8780.9,8803.4,9012.3,9008.6,9259.6,9060.3,9190.1,9150.2,9190.2,9483.8,9222.1,9393.6,9315.4,9441.1,9411,9673.2,9552.9,9776.7,9746.2,9931,9879.4,9847.1,10155,9942.7,10181,10209,10287,10373,10453,10639,10629,10754,10824,10868,10993,11238,11151,11238,11352,11567,11557,11542
6.24,9.9701,1.6,1268.7,380.04,110.14,0.55079,165.42,40,6,500,28801,22509,20865,20351,19965,20085,19882,19857,20106,20241,19836,19978,19970,19870,19996,20008,19978,20010,19922,20002,19815,20070,19922,19799,19924,19858,20024,20016,19928,19875,20150,19994,20136,20100,19895,19792,19621,19590,19264,18439,18046,17831,17583,16917,16497,16029,15510,14826,14025,12929,11626,9886.8,8027.8,6041.5,3770.5,2183.1,1670.1,2137.3,3499.9,5170.1,6984.8,8591.4,10131,11690,12789,13621,14705,15166,15777,16263,16494,16883,17077,17165,17316,17566,17616,17618,17566,18173,18041,18056,18353,17960,18144,18365,18308,18252,18323,18579,18720,18314,18573,18467,18686,18543,18599,18742,18700,18922,18804,18704,19075,19130,19054,19110,19158,19114,19328,19339,19251,19635,19693,19595,19698
6.41,9.9641,1.6,1335.2,407.9,107.1,0.46531,139.75,40,6,500,27721,21897,20432,19885,19857,19516,19504,19601,19569,19530,19515,19415,19597,19611,19644,19468,19699,19579,19669,19495,19577,19471,19641,19560,19506,19486,19360,19518,19650,19570,19700,19713,19599,19704,19348,19282,19390,19227,19121,18149,17836,17515,17046,16613,16346,15704,15120,14536,13455,12399,11152,9420.8,6888.9,4941.6,2784.8,1971.8,1873.8,2609.4,4411.3,6296.6,7873.1,9563.8,10994,12198,13232,13989,14753,15247,15812,16287,16621,16874,16996,17247,17223,17384,17467,17531,17572,17710,17718,17739,17694,18029,18097,18032,18097,17950,18093,18191,18273,18246,18294,18304,18269,18287,18428,18363,18451,18472,18357,18587,18501,18689,18851,18624,18921,18920,18871,18952,18978,19282,19363,19338,19295
6.56,9.9592,1.6,1325.2,422.1,101.97,0.36159,108.6,40,6,500,23833,18747,17580,17059,17056,16888,16847,16750,16954,16961,16736,16634,16892,16883,16781,16857,16854,16757,16870,16907,16786,16819,16634,16818,16870,17007,16994,16914,16847,16954,16943,16880,17005,16878,16644,16568,16667,16740,16421,15493,15376,14920,14589,14225,13967,13552,12986,12253,11588,10325,9019.3,7350,5581.6,3413.5,2180.7,1509.1,2033.4,2980,4741.7,6330.9,7967.6,9064.8,10280,11249,12196,12654,13384,13685,14181,14453,14794,14737,14803,14771,14900,15067,15263,15242,15177,15331,15368,15380,15417,15385,15444,15371,15733,15679,15656,15611,15927,15779,15784,15666,15729,15826,15836,15756,15750,15989,15885,15798,16213,15913,16188,16281,16493,16259,16354,16217,16298,16454,16566,16718,16551
6.71,9.9602,1.6,1312.2,340.18,118.03,0.054729,16.437,40,6,500,24908,19372,17968,17521,17104,17351,17362,17308,17084,17216,17215,17116,17395,17296,17201,17347,17289,17278,17264,17367,17239,17351,17058,17309,17163,17175,17340,17200,17157,17099,17299,17097,17185,17105,17006,17003,16907,16759,16519,15537,15009,14455,14045,13691,13101,12337,11518,10285,9257.4,7575.8,5951.3,4126,2760.2,1729.6,1697.7,2237.4,3624.5,5039.1,6548.6,7848.6,9422.6,10257,11326,12093,12780,13266,13622,14128,14645,14684,14809,14843,14907,15202,15201,15235,15457,15417,15327,15519,15529,15400,15710,15823,15722,15715,15605,15646,15791,15883,15962,15934,15767,16003,15885,15936,16006,16184,16158,16073,16483,16342,16215,16506,16557,16598,16564,16734,16655,16650,16560,16701,16716,17027,16881
6.87,9.9354,1.6,1352.7,328.13,121.39,0.19773,59.384,40,6,500,27910,21590,20184,19646,19321,19510,19474,19245,19244,19273,19340,19206,19313,19389,19410,19540,19377,19410,19352,19483,19380,19423,19524,19405,19390,19507,19426,19238,19355,19284,19262,19256,19486,19448,19297,19141,19147,18871,18582,17418,17028,16456,16006,15444,14968,14059,13503,12396,11137,9697.8,7827.3,5657.4,3917.6,2550.5,1533.5,1764.3,2951.6,4383.1,5944.9,7549.6,9006.5,10540,11721,12517,13351,14123,14702,15323,15623,16063,16364,16367,16623,16598,16717,16795,16846,17012,17207,17115,17057,17247,17180,17381,17539,17452,17389,17643,17456,17573,17450,17673,17640,17609,17596,17439,17751,18032,17805,17952,17913,18251,18339,18294,18335,18430,18312,18434,18626,18736,18719,18551,19011,18855,18993
7,9.8912,1.6,1333.1,325.6,120.48,0.18613,55.902,40,6,500,28292,22143,20299,19769,19716,19666,19648,19554,19722,19439,19479,19602,19582,19726,19497,19642,19665,19632,19486,19643,19562,19505,19596,19756,19471,19392,19593,19479,19565,19491,19407,19547,19818,19607,19297,19215,19299,19247,18939,17872,17181,16846,16252,15726,15040,14382,13392,12547,11263,9634.8,7895.4,5590.6,3930.6,2379.8,1608,1883.4,2921.6,4537.8,6049.8,7848.4,9207.5,10819,11752,12912,13635,14331,14830,15589,15778,16287,16273,16452,16788,16741,16709,16845,16864,17045,16968,17142,17159,17133,17168,17215,17400,17418,17497,17464,17629,17602,17554,17669,17777,17838,17830,17767,17852,17995,18101,18295,18195,18402,18294,18384,18521,18701,18764,18755,18910,18964,18942,19182,19232,19435,19279
7.14,9.988,1.6,1316,343.81,115.59,0.19968,59.971,40,6,500,26799,20930,19541,18931,18935,18785,18686,18666,18702,18662,18543,18745,18707,18860,18851,18817,18718,18783,18680,18621,18761,18710,18657,18878,18719,18710,18683,18797,18887,18690,18766,18630,18768,18710,18596,18547,18360,18255,17925,17021,16676,16181,15795,15261,14765,14146,13335,12242,11059,9596.7,7810.1,5633.3,3658.7,2106.5,1679.5,1895.2,2950.7,4435.4,5995.9,7572.2,9029.9,10522,11404,12493,13017,13761,14508,14540,15227,15483,15623,15824,15753,15886,15945,16035,16085,16297,16197,16176,16227,16183,16429,16322,16310,16638,16539,16669,16690,16779,16736,17029,16887,17089,16878,17093,17143,17018,17344,17336,17335,17352,17708,17584,17836,17684,17966,17938,18005,18189,18058,18422,18375,18397,18735
