pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-157.999,-156.999,-155.999,-154.999,-153.999,-152.999,-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
7.29,14.758,0.86,941.89,257.41,114.26,0.24745,74.317,43,3,2000,25563,24502,24308,24271,23990,24295,24112,24028,24237,23803,23968,23840,24046,23800,23220,23242,23106,22769,22629,22470,22100,21695,21145,20571,19322,17869,15366,11652,6656.2,2809,2577.8,6263.2,10617,13822,16381,18036,19243,20080,20765,20875,21580,21627,21757,21864,22251,22291,21984,22180,22113,22081,21947,22140,22210,22024,21824,21923,21716,21992,21853,21964,22004,22289,22526,22536,22663,22890,22885,22971,22984,23065,22992,23265,23178,23354,23360,23384,23334,23215,23431,23441,23590,23539,23617,23474,23672,23735,23658,23714,23777,23756
6.23,14.963,3.4,4333.7,507.31,105.87,0.21114,63.412,43,3,2000,21936,17854,16395,16080,15985,15944,15714,15878,16027,15818,15648,15421,15563,15724,15101,14894,14929,14615,14315,14329,13728,13673,13249,12746,11858,10633,9063.7,6144.6,2702.3,931.12,1239.4,2804.2,4952.9,6791.6,8370.8,9762,10700,11485,11884,12352,13031,13442,13992,13925,14251,14520,14520,14563,14471,14791,14469,14637,14818,14506,14442,14499,14392,14205,14420,14355,14421,14478,14572,14642,14726,14493,14580,14422,14248,14324,14146,13877,14121,14489,14540,14681,14822,15006,15088,15188,15278,15344,15142,15271,15209,15678,15640,15573,15554,15559
6.39,14.951,3.4,4378.5,549.79,97.133,0.29895,89.786,43,3,2000,17988,15120,13985,13561,13184,13428,13331,13130,13606,13076,13281,13161,13136,13026,12810,12765,12806,12518,12245,12247,12073,11804,11480,11030,10938,9917.2,8816,6741.6,3936.1,1471.3,1027.3,2084.8,3739.1,5564.3,6871.8,8127.8,9261.1,9680.7,10184,10355,10886,11436,11398,11768,12053,12042,12232,12330,12315,12190,12572,12412,12385,12343,12286,12232,12287,11944,11888,12013,12049,12175,12198,12095,12312,12514,12335,12249,12326,12078,11951,11930,11967,11932,12074,12331,12490,12492,12464,12786,12971,12867,13023,12935,12908,13106,13125,12891,13230,13288
6.52,14.949,3.4,4296.4,500.48,103.11,0.12996,39.032,43,3,2000,20770,16844,15577,15234,15145,14967,14934,14879,14949,14997,14636,14666,14813,14719,14302,14137,13978,13822,13704,13215,13106,12636,12297,11933,10701,9345.7,7594.8,4490.7,1888.7,1022.9,1577.4,3641.8,5252.6,6756.1,8218.3,9558.5,10415,11060,11542,11753,12251,12577,13113,13243,13586,13468,13655,13648,13675,13783,13695,13734,13511,13618,13451,13509,13231,13158,13484,13335,13522,13504,13682,13668,13565,13461,13449,13609,13361,13120,13072,13219,13113,13538,13597,13859,14061,14090,14135,14347,14248,14407,14405,14345,14327,14712,14696,14678,14644,14660
6.72,14.925,3.4,4327.2,468.62,111.84,0.25657,77.058,43,3,2000,23021,19016,17543,16926,16738,16560,16782,16535,16532,16766,16504,16443,16433,16317,15930,15758,15663,15381,15307,14868,14763,14241,14059,13280,12693,11296,9236.8,6540.3,3180.3,1185.1,1249.5,2730.1,4548.3,6638,8244.5,9658,11117,11641,12295,12734,13363,13868,14475,14754,14819,14795,14978,15034,15156,14893,15114,15243,15037,15048,14840,14759,14677,14557,14331,14433,14607,14642,14940,14926,14976,15038,15027,14785,14818,14787,14425,14982,14474,14872,14940,15257,15436,15671,15603,15625,15866,16014,15967,16263,16256,16076,16121,16271,16230,16201
6.85,14.881,3.4,4314.3,482.12,103.84,0.09568,28.736,43,3,2000,21069,17310,15806,15568,15283,15389,15360,15354,15239,15027,15003,14903,15197,14986,14498,14267,14239,14119,13816,13532,13135,12825,12468,11853,10764,9360.4,7180.9,4008.1,1403.3,1017.1,1849.3,3760.6,5503.2,6975.5,8516.8,9586.4,10474,11017,11647,11963,12281,12922,13363,13411,13583,13584,13593,13850,13590,13623,13571,13536,13413,13416,13052,12701,12812,12741,12901,12904,13207,13446,13480,13510,13712,13466,13481,13379,13335,13705,13401,13743,13509,13814,13976,14096,14183,14292,14402,14283,14700,14568,14675,14731,14708,14798,14733,15075,15043,14876
6.97,14.97,3.4,4381.3,515.11,91.484,0.1615,48.504,43,3,2000,17490,14554,13335,13190,13062,13031,12935,12674,12841,12877,12756,12743,12614,12622,12296,12444,12155,12036,11793,11477,11598,11417,10924,10482,9985.6,8784.8,7095.7,4676.9,1905.2,937.82,1344.8,2981.7,4555,5888.7,7162.7,8401.8,8908.8,9671.4,10134,10537,10668,11141,11372,11341,11685,11513,11632,11681,11765,11571,11396,11524,11408,11361,11147,11068,10638,10780,10728,10833,11015,11240,11316,11603,11666,11408,11596,11529,11625,11643,11532,11558,11752,11846,11772,11972,12151,12045,12091,12490,12317,12416,12419,12412,12458,12592,12518,12425,12601,12692
7.17,14.875,3.4,4274.1,415.83,100.99,0.24367,73.181,43,3,2000,20555,16738,15486,15249,14942,14954,14705,14879,14794,14721,14790,14319,14610,14649,14196,13985,13917,13808,13484,13248,13022,12827,12094,11625,10679,9520.2,7535.2,5293.6,2478.2,1113,1272,2089.2,3951.4,5449.3,6999.7,8361.9,9203.3,10198,10773,11204,11678,12051,12147,12558,12409,12692,12551,12756,12611,12409,12308,12429,11974,12225,12239,12002,11764,11644,11659,11600,11878,12066,12459,12689,12698,12925,13100,13181,13166,13398,13317,13586,13580,13582,13685,13817,13864,13812,14114,13901,14076,14283,14232,14343,14418,14371,14491,14532,14566,14624
7.27,14.854,3.4,4291.4,397.97,106.56,0.13662,41.032,43,3,2000,22749,18503,17206,16994,16775,16715,16573,16580,16637,16518,16371,16340,16387,16266,15683,15671,15244,15128,14900,14482,14035,13686,12982,12309,10937,9093.9,6792.6,3801.8,1388.6,991.56,1438,3212,5306.2,7010,8500.7,9874.5,10564,11465,12142,12584,12935,13230,13621,13717,14048,13965,13887,13808,13823,13762,13482,13665,13561,13470,13153,12982,12869,12783,13045,13179,13414,13749,14092,14274,14434,14850,14848,14955,14841,15163,15027,15423,15175,15373,15415,15466,15389,15548,15555,15644,15946,15658,16006,15952,15948,16022,15933,16309,16104,16388
6.26,14.945,1.4,1571.6,387,106.35,0.14909,44.778,43,3,2000,24050,21906,21537,21389,21293,21504,21434,21569,21311,21322,21239,21151,21159,21098,20597,20403,20306,20105,19916,19788,19236,19070,18560,17651,16868,15249,12642,8636.8,3526.5,1393.1,3469.4,7265.6,10418,12821,15024,16094,17369,17774,18070,18507,19104,19582,19821,19898,19901,20029,20016,20194,20052,20414,20443,20357,20169,20196,20156,20095,20116,20107,20103,20136,20278,20309,20484,20193,20470,20307,20300,20123,20285,20072,19889,20075,20084,20371,20536,20482,20772,20633,20865,20767,20841,20902,20775,20890,20990,20916,20908,20991,21353,21121
