pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-165.999,-164.999,-163.999,-162.999,-161.999,-160.999,-159.999,-158.999,-157.999,-156.999,-155.999,-154.999,-153.999,-152.999,-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
6.24,24.913,0.6,649.28,255.22,106.17,0.6743,202.52,43,6,1000,24322,22527,22140,22311,22325,22106,22202,22219,22426,22058,22212,22141,22218,22474,22428,22340,22127,21813,21867,21803,21847,21858,20920,20753,20487,20270,19922,19631,19136,18801,18218,17408,16554,15491,14099,12338,9941.5,7052.3,4639.3,2740.1,2566.6,3849.6,5655.1,7816.9,9960.9,12107,13704,14733,15847,16766,17478,18319,18620,18897,18943,19258,19312,19637,19508,19948,20009,19870,19806,20176,20326,20335,19950,20048,20120,20266,20490,20309,20306,20322,20421,20511,20459,20408,20428,20443,20548,20409,20627,20512,20554,20555,20320,20970,21153,21105,21148,21201,21467,21722,21547,21515,21628,21700
6.41,24.777,0.6,693.41,262.3,104.66,0.81585,245.03,43,6,1000,27219,25127,24897,24679,24963,24693,24522,24939,24536,24757,24711,24596,24836,25091,24870,24760,24670,24597,24425,24384,24153,24183,23422,22843,22831,22715,22353,21829,21662,20962,20528,19960,18963,18118,16964,14954,12729,9961.3,7135.9,4391.6,2807.1,3056.2,4717.7,6843.7,9676.3,12109,13891,15555,16761,17828,18639,19551,20226,20570,20707,21100,21248,21450,21098,21637,21853,21945,21898,21765,21992,21978,22112,22248,21935,22106,22193,22382,22148,22269,22334,22534,22532,22406,22324,22172,22505,22430,22211,22526,22430,22397,22563,22898,22971,23460,23296,23458,23542,23734,23766,23980,24233,24064
6.54,24.802,0.6,703.26,264.39,98.216,0.73056,219.41,43,6,1000,27376,25243,24839,24812,24868,24665,24824,25059,24762,24840,24734,24712,24987,24671,24852,24798,24420,24203,24332,24258,24198,23911,23044,22913,22805,22547,22167,21988,21359,20774,20252,19717,18825,17721,16072,14115,11676,8905.4,5664.2,3168,2787.5,3464.6,5480.2,8230.7,10690,12789,14775,16301,17234,18404,19066,19777,20455,20579,20759,20908,21479,21216,21551,21651,21372,21595,21685,21755,21756,21581,22174,21877,21872,21770,22075,21981,22111,21910,22104,22190,22474,22312,22068,22245,22356,22217,22254,22415,22289,22350,22453,22946,23011,23243,23231,23520,23668,23699,23962,24180,23823,24035
6.7,24.826,0.6,679.29,253.08,95.481,0.64026,192.29,43,6,1000,24956,23469,23242,23241,23051,23085,23183,23228,23127,23140,23174,23063,23361,23123,23138,23375,22861,22292,22412,22722,22516,22400,21592,21516,21288,21023,20698,20425,19904,19335,18960,18292,17370,16025,14593,12679,9820.5,6950.1,4140.8,2332.7,2584.8,4057.4,6212,8889.6,10919,12961,14530,15564,16685,17404,18252,18780,19191,19292,19574,19636,19822,19739,20168,20000,20186,20061,20218,20183,20163,20344,20259,20184,20384,20128,20273,20459,20157,20591,20332,20585,20626,20591,20346,20223,20513,20493,20475,20489,20553,20743,20986,21399,21357,21631,21829,22204,22026,22144,22483,22464,22440,22499
6.87,24.752,0.6,657.6,239.86,91.114,0.30998,93.096,43,6,1000,21417,20316,19974,19987,19978,19806,20055,19936,19805,19730,20002,19890,20141,19647,19846,19994,19663,19614,19457,19661,19686,19358,18730,18237,18149,17767,17507,17346,16757,15893,15393,14552,13422,11636,9466.9,6976.2,4661.6,2512.8,2144.8,2915.4,5137,7004.6,8779.7,10544,11915,12781,14015,14690,15733,16135,16303,16724,16994,17250,17222,17256,17355,17194,17336,17333,17204,17247,17365,17202,17146,17061,16917,17307,17403,17196,17435,17489,17605,17665,17572,17533,17572,17763,17690,17717,17852,17949,18110,18147,18135,18377,18588,18635,18959,19009,19075,19056,19089,19095,19374,19347,19423,19584
6.99,24.913,0.6,654.9,220.98,110.16,0.3694,110.94,43,6,1000,25315,23238,23131,22965,23003,22912,22788,22790,23035,23012,22819,22694,23066,22922,23127,22838,22713,22584,22677,22376,22624,22241,21026,20890,20488,20364,19807,19077,18657,17822,17062,16042,14297,12600,10236,7568.4,5240.3,3011.2,2345,2727.9,4294.4,6032.2,8150.4,10170,11895,13314,14257,15422,16303,16980,17617,18165,18609,18481,18729,18766,18817,18837,19022,18949,19160,18948,18981,19010,18995,19079,19062,19050,18971,19134,18999,19395,19513,19390,19535,19622,19799,19688,19838,20045,19994,20090,20210,20372,20538,20777,20722,20994,21273,21529,21422,21619,21605,22026,22057,22326,22386,22482
7.18,24.93,0.6,689.55,210.45,112.57,0.44344,133.18,43,6,1000,28214,25938,25688,25681,25534,25324,25474,25608,25579,25445,25489,25820,25518,25786,25423,25679,25520,25259,25183,24957,24842,24574,23333,22821,22432,22345,21673,21124,20425,19818,18671,17660,15960,13974,11692,8696.9,6089.3,3901.4,2678.8,2757.8,4009.2,5632.5,7721,9655.6,11821,13395,14833,16181,16987,17809,18804,19172,19603,19586,19732,20034,19952,20226,20316,20463,20379,20153,20357,20192,20292,20187,20366,20341,20436,20330,20618,20498,21057,20967,21287,21515,21641,21349,21860,22116,22066,22321,22298,22629,22566,22701,22908,23179,23348,23377,23496,23795,24133,24421,24220,24450,24606,24636
7.27,24.75,0.6,681.42,206.03,109.18,0.39063,117.32,43,6,1000,27543,25735,25316,24909,25138,25203,25028,25138,25034,25267,24935,24998,25031,25163,24972,25143,24800,24725,24428,24700,24741,24475,23153,22506,22290,21656,21427,20794,20314,19177,18405,16969,15288,13262,10914,8213.9,5255.2,3425.8,2701.8,3101.2,4266.2,6151.9,8175.4,10368,12087,13779,15307,16035,17158,17857,18474,18910,19468,19529,19529,19755,19593,19834,19660,19813,19915,19863,19750,19647,19792,19863,19809,19907,20087,20221,20285,20479,20693,21031,21123,21442,21576,21763,21656,21752,22063,22117,22261,22460,22522,22704,22616,23013,23107,23423,23407,23522,23764,23743,24158,24390,24285,24305
6.22,24.945,0.43,541.78,230.7,103.49,0.2424,72.8,43,6,1000,25685,24295,24231,24094,23880,23765,23973,24059,23891,23644,24073,23908,23710,23645,23765,23831,23638,23182,23383,23127,23312,23052,21975,21576,21212,20919,20508,19877,19474,18456,17623,16459,14708,12724,10078,7431.4,4596,3146.3,3176,4747.5,7106.7,9451,11717,13583,15277,16598,17567,18360,19104,19746,20120,20702,20832,20800,21101,21141,21352,21250,21611,21386,21451,21540,21601,21656,21856,21760,21757,21862,21832,21988,22090,22057,21880,22006,22131,21783,22013,21740,21983,21949,22227,22312,22132,22257,22437,22454,22410,22678,22743,22959,22933,22970,23121,22800,23157,23158,23238,23163
