pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-182.999,-181.999,-180.999,-179.999,-178.999,-177.999,-176.999,-175.999,-174.999,-173.999,-172.999,-171.999,-170.999,-169.999,-168.999,-167.999,-166.999,-165.999,-164.999,-163.999,-162.999,-161.999,-160.999,-159.999,-158.999,-157.999,-156.999,-155.999,-154.999,-153.999,-152.999,-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
6.87,49.593,0.86,763.2,197.61,93.648,0.63513,190.75,43,4,500,19385,16223,15972,15672,15528,15640,15485,15602,15547,15455,15415,15618,15581,15614,15501,15470,15509,15393,15558,15506,15501,15609,15514,15525,15433,15496,15636,15626,15696,15501,15632,15625,15701,15594,15534,15392,15399,15443,15548,15149,15075,15041,14872,14788,14588,14522,14280,14047,13644,13386,12774,11936,10834,9022.3,6955.6,3998,2254.8,1984.9,3302.7,4989.4,6818.2,8227.9,9792.8,10781,11580,12109,12583,12939,13210,13572,13838,13817,13818,14044,14137,14078,14303,14050,13990,14213,14206,14048,14071,13863,13677,13851,13435,13615,13506,13731,13873,13943,13960,13987,14101,14195,14103,14045,14066,14190,14243,14238,14279,14607,14515,14894,14838,15056,15111,15264,15439,15352,15391,15319,15504
7,49.875,0.86,799.64,177.13,100.35,0.77592,233.03,43,4,500,21500,18171,17562,17211,17296,17310,17249,17066,17041,17403,17227,17479,17364,17275,17330,17196,17352,17049,17101,17326,17260,17225,17144,17346,17312,17213,17356,17198,17360,17136,17243,17212,17192,17326,17283,17106,17186,17042,17027,16854,16748,16519,16502,16467,16352,16214,15832,15638,15558,15057,14425,13719,12738,11128,8870.2,6120.3,3467.3,1831.7,2335.5,3965.3,5930.9,7788.7,9375.5,10712,11919,12707,13347,13988,14387,14765,14759,14900,14972,15195,15178,15466,15159,15344,15424,15311,15353,15053,15109,15075,14967,14976,14625,14522,14489,14653,14705,14844,15171,15288,15373,15471,15652,15626,15585,15661,15584,15441,15784,16039,16142,16014,16415,16494,16691,16801,16902,17066,16986,17158,17256
7.15,49.731,0.86,802.88,159.34,97.143,0.77743,233.49,43,4,500,22285,18694,18260,17535,17700,17840,17785,17694,17593,17640,17792,17740,17836,17700,17849,17700,17838,17771,17645,17626,17746,17750,17595,17799,17710,17758,17846,17713,17633,17873,17744,17945,17493,17645,17673,17564,17756,17634,17647,17296,17313,17063,16862,16944,16721,16529,16294,15847,15697,15437,14785,13830,12872,11174,8860,5905.5,3449.3,2006.6,2327.5,3826.8,5876.8,7696.7,9581.1,10794,12091,12946,13680,14184,14707,14850,15104,15240,15319,15460,15383,15526,15614,15467,15651,15459,15417,15289,14993,15026,15024,14799,14648,14658,14618,14614,14772,15080,15339,15411,15586,15891,15924,16272,16180,16241,16221,16392,16422,16471,16586,16695,16869,17073,17060,17265,17328,17611,17509,17722,17782
7.32,49.702,0.86,775.3,144.7,91.845,0.81449,244.62,43,4,500,20789,17662,16951,16715,16813,16894,16742,16777,16798,16890,16702,16708,16890,16798,16625,16815,16701,16978,16839,16879,16766,16613,16732,16773,16772,16850,16704,16669,16808,16668,16784,16670,16791,16716,16645,16645,16418,16767,16549,16216,16269,15989,16138,15810,15657,15551,15539,15291,14916,14437,14026,13171,12122,10821,8725.9,5984,3594,2214.9,2058,3577.6,5247.6,7103,8909.1,10135,11416,12144,12766,13285,13686,14042,14098,14271,14229,14348,14395,14356,14664,14446,14476,14382,14569,14340,14235,14119,13982,13903,13940,13968,13784,13723,14031,14014,14174,14432,14790,15175,15135,15433,15288,15570,15491,15560,15643,15868,15877,15866,15954,16209,16252,16154,16117,16535,16684,16637,16649
6.25,49.831,0.6,542.48,207.84,87.193,0.68447,205.57,43,4,500,18373,16262,15748,15596,15803,15768,15769,15733,15829,15853,15750,15715,15686,15773,15688,15658,15791,15630,15750,15746,15779,15637,15773,15727,15844,15864,15772,15928,15627,15909,15643,15703,15931,15582,15594,15646,15628,15470,15698,15431,15458,15175,15334,15059,15117,14937,14805,14667,14397,14136,13633,13064,12288,10748,8644.6,5803,3208.5,2268.5,3967,6231.2,8118.6,9780.9,11327,12296,12846,13291,13480,13852,14149,14614,14583,14730,14679,14864,14929,14722,14990,15029,15132,15040,15082,15062,15006,15090,14741,14762,14790,14856,14706,15041,14959,15190,15101,14985,15099,14917,15033,14947,14755,14805,14811,14693,14798,15109,15149,15420,15460,15202,15460,15594,15533,15585,15769,15572,15698
6.39,49.776,0.6,547.5,200.82,103.4,0.40029,120.22,43,4,500,20881,18455,18034,17877,17844,17974,17809,17977,17812,17864,17767,18043,17971,17689,17985,17845,17841,17904,17890,17901,17832,18036,17959,17897,17871,18099,18060,17713,17923,17804,17828,17795,17913,17853,17590,17653,17699,17680,17709,17519,17233,17187,16983,16891,16886,16444,16242,15968,15201,14782,13792,12366,10431,7604.7,4704.1,2685,3086.1,4795.6,7250,9176.7,10958,12383,13505,14043,14558,15305,15431,15779,16277,16486,16665,16446,16546,16620,16783,16767,16692,16780,16839,16747,16785,16624,16568,16590,16472,16377,16521,16588,16781,16673,16741,16804,16737,16618,16591,16640,16482,16552,16712,16591,16758,16799,17083,17118,17221,17428,17423,17396,17498,17513,17796,17744,17738,17731,17716
6.56,49.727,0.6,571.35,190.78,110.41,0.37288,111.99,43,4,500,23333,20531,20214,19988,19907,19956,19902,19874,19801,19899,19838,19841,19807,19893,19827,19883,19879,19780,20026,19894,19950,19862,19957,19770,19847,19904,19782,19835,19778,19816,19743,19853,19887,19826,20023,19820,19754,19744,19623,19335,19186,18856,18700,18784,18520,18095,17843,17515,16714,16006,14825,13088,11022,7627.3,4567.6,2919.9,3417.4,5526.8,7818.8,10106,12034,13351,14618,15484,16162,16613,16978,17611,17755,18017,18414,18278,18224,18417,18228,18433,18304,18330,18357,18412,18233,18279,18151,18195,18085,18136,17949,18207,18269,18230,18311,18452,18274,18215,18297,18363,18108,18417,18269,18258,18448,18587,18712,18921,19136,19292,19285,19573,19423,19590,19624,19703,19786,19794,19675
6.72,49.628,0.6,582.52,183.06,108.22,0.35817,107.57,43,4,500,23691,20966,20550,20151,20237,20022,20053,20026,20210,19978,20247,19966,20004,19991,20045,20231,20054,20133,20010,20026,20127,20060,20039,20016,20116,20154,20200,20034,20244,20087,20211,20184,20110,19942,19975,19815,19990,19878,19710,19434,19137,19338,18903,18872,18573,18330,17991,17612,16972,16125,15091,13285,10750,7557,4344.3,2670.7,3337.3,5295.7,7897.9,10121,12160,13525,14810,15425,16021,16742,17240,17591,17965,18174,18370,18409,18428,18455,18430,18407,18425,18280,18283,18404,18337,18084,18173,18058,17934,18122,17914,18167,18333,18387,18512,18327,18365,18442,18735,18396,18538,18375,18562,18746,18639,18827,18946,19117,19192,19426,19523,19539,19874,19901,19756,19912,20041,19845,20159
6.84,49.417,0.6,567.56,161.61,104.85,0.36723,110.29,43,4,500,21656,18949,18797,18519,18666,18505,18470,18529,18499,18430,18487,18487,18403,18581,18623,18480,18397,18503,18618,18447,18482,18546,18564,18413,18402,18361,18378,18480,18359,18503,18553,18393,18445,18448,18410,18346,18253,18360,18237,17943,17902,17755,17547,17326,17182,16899,16645,16331,15660,14776,13869,12273,9942.1,6917.7,4383.2,2891.9,3321,4965.5,7132,9230.9,11000,12402,13525,14403,14803,15386,15717,16218,16238,16728,16474,16607,16709,16845,16680,16780,16702,16539,16813,16469,16411,16563,16271,16054,16048,16266,16447,16309,16523,16680,16953,16834,16931,17095,17025,17087,17044,17131,17363,17332,17451,17556,17572,17739,17705,17882,18095,18095,18050,18262,17966,18241,18447,18715,18190
