pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-149.998,-148.998,-147.998,-146.998,-145.998,-144.998,-143.998,-142.998,-141.998,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
6.22,24.943,3.4,3977.5,457.68,100.53,0.4783,143.65,43,2,2000,24904,15944,15071,14619,14822,14357,14668,14418,14601,14684,14835,14630,14602,14581,14422,14351,14367,14477,14575,14343,14356,14101,14201,14043,13804,13801,13365,12638,11700,9738.2,5226.8,1191.2,2985.2,6425.3,8620.8,10293,11516,12373,12531,13072,13203,13462,13570,13944,14120,14430,14112,14582,14287,14319,14297,14377,14545,14494,14422,14310,14332,14433,14119,14096,14131,13867,13967,14084,14061,14172,14230,14347,14251,14439,14403,14109,14166,13783,13753,13714,13804,14009,14310,14276,14339,14442,14515,14326,14457,14540,14325,14588,14694,14712
6.4,24.933,3.4,4135.9,470.01,99.611,0.52685,158.23,43,2,2000,26392,17300,16219,15938,15755,15615,15796,15476,15662,15377,15618,15480,15621,15719,15501,15524,15520,15492,15137,15393,15263,15368,14997,15114,15151,14846,14339,13907,12628,11125,6869.1,1060.2,2414.2,6492.3,8873.5,10666,12322,13103,13672,14196,14106,14187,14669,14918,15040,14930,15222,15124,15223,15077,15286,15427,15226,14976,15386,15232,15428,15012,15241,15031,14813,14667,14339,14838,14950,15155,15290,15150,15144,15134,15103,14914,14946,14934,14750,14791,14770,14900,15250,15321,15249,15384,15468,15508,15476,15648,15621,15578,15570,15747
6.52,24.908,3.4,3984.1,503.57,87.377,0.30493,91.581,43,2,2000,20943,14359,13200,12945,12996,12933,12979,13014,13148,12771,12719,12893,12831,12832,12930,12938,12791,12811,12764,12773,12693,12514,12566,12329,12351,11969,11612,10888,9331.3,5187.2,870.9,2576.8,5818.2,7578.9,8926.9,10032,10837,11165,11426,11636,11690,12099,12253,12476,12630,12607,12554,12565,12812,12773,12785,12780,12858,12679,12656,12653,12612,12563,12182,12071,11989,12243,12354,12451,12518,12417,12627,12583,12579,12335,12385,12517,12328,12289,12313,12440,12678,12602,12699,12907,12829,12943,13070,13157,12888,13006,12968,12964,12722,12871
6.68,24.846,3.4,3896.8,405.81,106.72,0.17508,52.583,43,2,2000,25240,15787,14833,14634,14691,14592,14718,14518,14466,14408,14582,14409,14334,14498,14305,14351,14277,14010,14098,14120,14166,13957,13949,13588,13357,12718,11936,9866.2,6189,1413,1419.2,4757.8,7642.1,9208.4,10627,11548,12376,12623,12686,13245,13376,13748,13928,13901,13970,13980,14243,14019,13936,14160,13878,14006,13824,13950,13849,13586,13627,12907,13122,13061,13237,13418,13783,13794,13887,14016,13994,13895,13765,13656,13668,13621,13853,13888,13746,13816,13940,14263,14292,14381,14368,14382,14175,14563,14411,14571,14414,14484,14458,14449
6.85,24.755,3.4,3971.6,372.83,109.34,0.28166,84.592,43,2,2000,27130,17081,16195,15999,15605,15764,15863,15589,15549,15693,15676,15809,15708,15847,15596,15367,15460,15369,15359,15379,15196,15218,15065,14752,14248,13834,13091,11525,8584.8,3528,856.17,3128.5,6637.9,8871.1,10371,11856,12712,13468,13751,14046,14308,14695,14810,14897,14984,15177,14930,14891,15185,15161,15093,15059,15009,14783,14734,14572,14343,14085,13797,13719,13678,14123,14408,14562,14850,14968,15177,14947,14967,15040,15215,14879,14965,15067,15135,15263,14972,15282,15238,15368,15396,15352,15503,15498,15560,15328,15683,15668,15670,15704
6.98,24.893,3.4,4057.7,370.64,107.31,0.21343,64.1,43,2,2000,27068,17198,15948,15884,15631,15780,15794,15651,15678,15899,15731,15792,15949,15659,15517,15562,15515,15473,15321,15049,15337,15036,14891,14591,14312,13992,12934,11007,7731.3,2237.8,1076.6,3825.7,7178.4,9242.7,10981,12045,12847,13485,13924,14340,14355,14553,14944,14728,14986,14916,15030,14864,14827,15063,15011,14832,14910,14726,14668,14652,14073,13828,13764,13482,13786,14058,14300,14660,14794,14806,14919,15046,15139,14978,14843,15004,15125,15256,15030,15189,15282,15280,15335,15693,15356,15553,15446,15564,15638,15351,15751,15706,15649,15622
7.12,24.918,3.4,4013.5,354.26,91.705,0.0315,9.4606,43,2,2000,20757,14128,13259,12927,12847,12721,12746,12916,12863,12919,12755,12542,12764,12703,12785,12928,12785,12520,12639,12350,12322,12347,12061,11737,11484,10795,9216.8,6712,2219.7,860.28,3162.9,5733.8,7774,9099.2,9968.8,10487,11114,11533,11650,11832,11951,12081,12135,12175,12135,12296,12369,12268,12424,12275,12042,11931,11852,11900,11576,11471,11408,11285,11485,11533,11803,11945,12119,12517,12217,12383,12414,12380,12361,12369,12423,12572,12526,12678,12572,12623,12632,12579,12577,12754,12714,12675,12642,12879,12599,12777,12676,12832,12956,12914
7.27,24.543,3.4,3853.9,290.34,107.79,0.0794,23.847,43,2,2000,24376,15551,14516,14236,14218,14059,14161,14278,14292,14203,14363,14213,14286,14134,14045,14047,13944,13943,13759,13735,13557,13321,13209,12772,12070,10972,9550.7,6522.7,2490.2,1011.4,2456.7,5681.1,8007.1,9558.1,10751,11420,12135,12433,12736,12884,12905,13104,13004,13357,13269,13197,13158,13182,13166,13200,13358,13141,13069,13123,12949,12655,12963,12954,12867,13011,13093,13179,13437,13572,13677,13620,13779,13641,13887,13873,13949,13769,13916,14028,13895,13905,14072,14010,13896,14104,13959,14142,14211,14148,13985,14290,14186,14129,14135,14146
6.25,24.943,1.4,1678.1,347.44,111.5,-0.010821,-3.2501,43,2,2000,29997,23675,23428,23235,23406,23411,23388,23334,23213,23418,23304,23230,23246,23304,23074,22868,23094,22947,22536,22749,22515,22334,21927,21721,20893,19883,17017,11221,2529.5,3076.7,10046,14674,17430,19185,20542,21029,21362,21434,21646,22068,22655,22745,22636,22871,22929,22656,22706,22985,22807,23005,22811,22894,22773,22788,22563,22480,22551,22328,22509,22793,22878,22890,23014,23073,23058,22668,22567,22488,22290,22426,22248,22380,22631,23005,23069,23011,23173,23005,22990,23101,22970,23055,23226,23132,23262,23238,23372,23214,23403,23191
