pH,Conc(mM),ApproT1(sec),ExpT1(ms),ExpT2(ms),ExpB1(percent),ExpB0(ppm),ExpB0(Hz),Temp,SatPower(uT),SatTime(ms),-151.999,-150.999,-149.999,-12,-11,-10,-9,-6,-3,-2.75,-2.5,-2.25,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2,2.2,2.4,2.6,2.8,3,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.8,7,7.2,7.4,7.6,7.8,8,9,10,11,12
7.16,9.8922,3.4,4371.9,433.67,107.44,0.45302,136.06,43,3,6000,23538,21798,21785,21352,21411,21351,21329,21093,20477,20241,20062,19909,19702,19319,19181,18828,18252,17697,16813,15342,13527,10661,7266,3583.1,1206.5,1061.7,2619.1,4792.8,7417.5,9705.2,11830,13292,14521,15642,16280,16872,17569,17800,18167,18306,18231,18169,18323,18351,18418,18320,18258,18008,17982,17747,17474,17207,16788,16826,16519,16646,16951,17278,17689,18008,18237,18449,18614,18719,18863,19118,19272,19453,19393,19439,19547,19772,19758,19921,20175,20407,20667,20578,20920,20734,20990,21044,21190,21237
7.27,9.9463,3.4,4451.9,444.46,109.7,0.47722,143.32,43,3,6000,26567,24930,24664,24185,24123,24200,24183,24033,23179,22978,22827,22707,22266,22224,21798,21247,20717,19923,19004,17671,15449,12645,8613,4428.1,1514.1,1034.2,2594.4,5098.7,8036.4,10718,12961,14562,16299,17434,18228,19001,19447,19791,20178,20496,20343,20355,20595,20572,20498,20571,20186,20096,20020,19822,19506,19173,18846,18551,18525,18699,18968,19460,19924,20319,20627,21018,21088,21234,21458,21649,21762,21752,22092,21973,22158,22213,22412,22591,22892,23073,23187,23041,23576,23645,23887,23983,23938,24007
6.24,9.9701,1.6,1348.6,386,106.23,0.50221,150.83,43,3,6000,27614,27092,27452,27035,26777,26821,26582,26520,25809,25553,25576,25203,25181,25060,24711,24503,24086,23537,22890,22151,20512,18573,14839,9364.5,3882.8,2014.8,4904.7,9992.8,13879,16960,19285,20766,21856,22561,22984,23511,24159,24617,24744,24950,24894,24998,25222,25337,25353,25615,25430,25362,25439,25475,25564,25444,25205,25466,25346,25304,25522,25274,25596,25627,25752,25778,25666,25773,25761,25646,25665,25478,25635,25733,25803,25977,26082,26233,26348,26427,26228,26328,26481,26492,26501,26493,26507,26602
6.41,9.9641,1.6,1420.1,411.81,102.22,0.39611,118.97,43,3,6000,26501,26394,26193,25812,25990,25896,25825,25620,25132,24788,24649,24330,24373,24229,23825,23521,23208,22701,21951,20926,19185,16673,12055,6588.5,2015.2,3074.6,7782.2,12218,15522,17996,19968,21057,22026,22260,22714,23401,23745,24162,24249,24454,24473,24629,24418,24583,24595,24705,24653,24638,24653,24700,24473,24801,24714,24632,24720,24717,24849,24865,24794,24976,25001,24943,24852,24570,24860,24971,24609,24597,24773,24902,24888,25067,25091,25428,25418,25490,25442,25596,25639,25532,25718,25935,25874,25635
6.56,9.9592,1.6,1374.7,425.72,96.347,0.24354,73.142,43,3,6000,22535,22701,22459,22208,22014,22238,22178,21912,21257,21390,21251,20867,20762,20606,20489,19974,19800,19367,18361,17210,15308,12038,7419.9,2780.8,2210,5731.7,9867.2,13012,15378,16952,18024,18844,19032,19421,19925,20362,20687,20754,20872,21133,21126,21182,21018,21014,21166,21320,21154,21277,21089,21193,20904,21022,21022,20936,20920,21030,21482,21404,21331,21345,21315,21188,21041,21080,21094,20980,20987,21272,21254,21468,21524,21672,21685,21945,21954,22071,21956,21898,21928,21860,21908,22104,22046,22042
6.71,9.9602,1.6,1390.8,339.97,114.67,0.10958,32.912,43,3,6000,24111,23834,24007,23504,23278,23429,23350,23005,22455,22289,22110,21942,21706,21551,21243,20683,20251,19111,17803,15891,12936,7915,3662,1727.5,4216.6,8422.8,11998,14720,16711,18056,19349,19708,20061,20795,21151,21434,21835,21903,22049,22265,22128,22163,22123,22181,22084,22164,22093,21919,22040,22093,21906,21903,21867,22006,22188,22304,22208,22471,22258,22308,22315,22043,22126,22195,22047,22129,22300,22470,22546,22588,22665,22773,22870,23032,22793,23143,23188,23086,23135,23278,23115,23333,23321,23191
6.87,9.9354,1.6,1434,328.32,118.19,0.18995,57.05,43,3,6000,26881,26635,26725,26342,26271,26235,26224,26068,25153,25005,25125,24635,24451,24254,23932,23527,22757,21761,20779,18813,15753,11305,5675.4,1913,2591.2,6961.5,11427,14790,17293,19515,20781,21502,22426,22828,23383,23766,24127,24395,24547,24798,24827,24732,24679,24711,24761,24425,24751,24631,24476,24419,24004,24274,24130,24427,24447,24736,24800,24760,24781,24794,24537,24781,24847,24577,24609,24714,24815,24972,25067,25356,25214,25446,25483,25553,25974,26023,25841,25963,25994,26097,26104,26101,26259,26177
7,9.8912,1.6,1413.7,323.08,116.87,0.14376,43.177,43,3,6000,27158,27090,26896,26449,26241,26333,26581,26004,25316,25151,25054,24812,24628,24421,23994,23307,22731,21699,20206,18284,14938,9646.9,4475.7,1552.5,3627.7,8128.9,12231,15310,17773,19869,21063,21797,22551,23324,23550,24058,24250,24370,24552,24592,24537,24551,24803,24603,24360,24540,24419,24108,24090,23897,23824,23741,23780,24070,24331,24647,24472,24826,24916,24901,24861,24944,24968,24886,25144,25185,25236,25286,25324,25488,25587,25695,25632,25774,26038,26146,26173,26118,26259,26032,26173,26406,26413,26374
7.14,9.988,1.6,1376.2,341.18,111.58,0.10573,31.754,43,3,6000,25609,25542,25257,24860,25038,25019,24956,24684,23928,23915,23643,23411,23160,22880,22789,22115,21466,20542,19036,17089,13521,8747.9,3631.9,1437.4,4169.3,8496.4,12351,15419,17446,19152,20286,20827,21547,21977,22352,22593,22787,23035,23254,23184,23262,23149,23234,23195,23049,22907,23032,22662,22656,22367,22204,22404,22742,22664,22862,23167,23299,23520,23714,23685,23647,23558,23633,23837,23744,23959,23948,24177,24117,24016,24282,24345,24420,24460,24602,24608,24709,24741,24709,24612,24711,24840,24927,24984
